l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
annie	VER:pper	annie
porteu	NOM	porteu
,	PUN	,
1	NUM	@card@
rue	NOM	rue
de	PRP	de
fleury	NOM	fleury
55220	NUM	@card@
ippécourt	NOM	ippécourt
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
80.53	NUM	@card@
.	SENT	.
58	NUM	@card@
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
80.55	NUM	@card@
.	SENT	.
49	NUM	@card@
la	DET:ART	le
poste	NOM	poste
:	PUN	:
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h.	ABR	h.
