c'	PRO:DEM	ce
est	VER:pres	être
avec	PRP	avec
une	DET:ART	un
immense	ADJ	immense
joie	NOM	joie
que	KON	que
dimitri	NOM	dimitri
viard	ADJ	viard
,	PUN	,
agent	NOM	agent
de	PRP	de
fabrication	NOM	fabrication
,	PUN	,
et	KON	et
son	DET:POS	son
épouse	NOM	épouse
roselyn	ADJ	roselyn
,	PUN	,
téléconseillère	NOM	téléconseillère
en	PRP	en
assurances	NOM	assurance
,	PUN	,
ont	VER:pres	avoir
accueilli	VER:pper	accueillir
leur	DET:POS	leur
premier	NUM	premier
enfant	NOM	enfant
,	PUN	,
le	DET:ART	le
11	NUM	@card@
décembre	NOM	décembre
,	PUN	,
à	PRP	à
la	DET:ART	le
clinique	ADJ	clinique
majorelle	NOM	majorelle
.	SENT	.
clara	NOM	clara
pesait	VER:impf	peser
3,490	NUM	@card@
kg	ABR	kg
et	KON	et
mesurait	VER:impf	mesurer
51	NUM	@card@
cm	NOM	cm
.	SENT	.
la	DET:ART	le
famille	NOM	famille
a	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
choix	NOM	choix
de	PRP	de
s'	PRO:PER	se
installer	VER:infi	installer
33	NUM	@card@
rue	NOM	rue
des	PRP:det	du
tilleuls	NOM	tilleul
,	PUN	,
au	PRP:det	au
bord	NOM	bord
du	PRP:det	du
course	NOM	course
;	PUN	;
la	DET:ART	le
passion	NOM	passion
que	KON	que
les	DET:ART	le
heureux	ADJ	heureux
parents	NOM	parent|parents
ont	VER:pres	avoir
pour	PRP	pour
la	DET:ART	le
pêche	NOM	pêche
n'	ADV	ne
y	PRO:PER	y
est	VER:pres	être
sûrement	ADV	sûrement
pas	ADV	pas
étrangère	ADJ	étranger
.	SENT	.
félicitations	NOM	félicitation
et	KON	et
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
à	PRP	à
clara	NOM	clara
.	SENT	.
