«	PUN:cit	«
la	DET:ART	le
pendule	NOM	pendule
»,	ADJ	»,
célèbre	ADJ	célèbre
photographie	VER:pres	photographier
signée	VER:pper	signer
robert	NOM	robert
doisneau	NOM	doisneau
.	SENT	.
jean	NOM	jean
donguès	NOM	donguès
a	VER:pres	avoir
été	VER:pper	être
,	PUN	,
notamment	ADV	notamment
,	PUN	,
animateur	NOM	animateur
à	PRP	à
rtl	NOM	rtl
et	KON	et
europe	NOM	europe
1	NUM	@card@
un	DET:ART	un
florilège	NOM	florilège
inédit	ADJ	inédit
des	PRP:det	du
plus	ADV	plus
beaux	ADJ	beau
cahiers	NOM	cahier
d'	PRP	de
écoliers	NOM	écolier
.	SENT	.
