cette	PRO:DEM	ce
année	NOM	année
encore	ADV	encore
,	PUN	,
l'	DET:ART	le
acalavo	NOM	acalavo
(	PUN	(
association	NOM	association
culturelle	ADJ	culturel
des	PRP:det	du
amis	NOM	ami
de	PRP	de
la	DET:ART	le
littérature	NOM	littérature
et	KON	et
des	PRP:det	du
arts	NOM	art
de	PRP	de
la	DET:ART	le
vallée	NOM	vallée
de	PRP	de
l'	DET:ART	le
ognon	NOM	ognon
)	PUN	)
reconduit	VER:pper	reconduire
son	DET:POS	son
concours	NOM	concours
de	PRP	de
poésie	NOM	poésie
catégories	NOM	catégorie
jeunes	ADJ	jeune
et	KON	et
adultes	ADJ	adulte
.	SENT	.
la	DET:ART	le
clôture	NOM	clôture
est	VER:pres	être
fixée	VER:pper	fixer
le	DET:ART	le
28	NUM	@card@
février	NOM	février
,	PUN	,
date	NOM	date
limite	NOM	limite
des	PRP:det	du
envois	NOM	envoi
.	SENT	.
renseignements	NOM	renseignement
auprès	ADV	auprès
de	PRP	de
m.	VER:infi	m.
roger	VER:infi	roger
faivre	NOM	faivre
,	PUN	,
président	NOM	président
,	PUN	,
5	NUM	@card@
rue	NOM	rue
des	PRP:det	du
onchères	NOM	onchères
,	PUN	,
70290	NUM	@card@
plancher-bas	NOM	plancher-bas
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
23.19	NUM	@card@
.	SENT	.
87	NUM	@card@
)	PUN	)
en	PRP	en
joignant	VER:ppre	joindre
une	DET:ART	un
enveloppe	NOM	enveloppe
timbrée	VER:pper	timbrer
à	PRP	à
son	DET:POS	son
adresse	NOM	adresse
pour	PRP	pour
réponse	NOM	réponse
et/ou	ADJ	et/ou
envoi	NOM	envoi
du	PRP:det	du
règlement	NOM	règlement
.	SENT	.
