a	VER:pres	avoir
la	DET:ART	le
maison	NOM	maison
du	PRP:det	du
tourisme	NOM	tourisme
.	SENT	.
de	PRP	de
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
matin	NOM	matin
punch	NOM	punch
,	PUN	,
2,30	NUM	@card@
	NOM	
ou	KON	ou
15	NUM	@card@
points	NOM	point
malins	ADJ	malin
.	SENT	.
de	PRP	de
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
marche	NOM	marche
à	PRP	à
thème	NOM	thème
,	PUN	,
2,30	NUM	@card@
	NOM	
ou	KON	ou
15	NUM	@card@
points	NOM	point
malins	ADJ	malin
.	SENT	.
rendez-vous	NOM	rendez-vous
et	KON	et
départ	NOM	départ
à	PRP	à
la	DET:ART	le
maison	NOM	maison
du	PRP:det	du
tourisme	NOM	tourisme
,	PUN	,
renseignements	NOM	renseignement
au	PRP:det	au
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
08.08	NUM	@card@
.	SENT	.
88	NUM	@card@
