m.	ABR	m.
eric	ADJ	eric
bonvalot	NOM	bonvalot
56	NUM	@card@
boulevard	NOM	boulevard
gambetta	VER:simp	gambetta
10000	NUM	@card@
troyes	NOM	troyes
.	SENT	.
la	DET:ART	le
loi	NOM	loi
de	PRP	de
finances	NOM	finance
2003	NUM	@card@
vient	VER:pres	venir
d'	PRP	de
abroger	VER:infi	abroger
le	DET:ART	le
privilège	NOM	privilège
des	PRP:det	du
bouilleurs	NOM	bouilleur
de	PRP	de
crus	NOM	cru
mais	KON	mais
détaxe	NOM	détaxe
de	PRP	de
50	NUM	@card@
%	SYM	%
les	DET:ART	le
dix	NUM	dix
premiers	NUM	premier
litres	NOM	litre
d'	PRP	de
alcool	NOM	alcool
purs	ADJ	pur
produits	VER:pper	produire
par	PRP	par
tout	PRO:IND	tout
propriétaire	NOM	propriétaire
familial	ADJ	familial
récoltant	VER:ppre	récolter
par	PRP	par
distillation	NOM	distillation
de	PRP	de
ses	DET:POS	son
fruits	NOM	fruit
.	SENT	.
ainsi	ADV	ainsi
,	PUN	,
un	DET:ART	un
peu	ADV	peu
tardivement	ADV	tardivement
néanmoins	ADV	néanmoins
,	PUN	,
nos	DET:POS	notre
élus	NOM	élu
viennent	VER:pres	venir
de	PRP	de
prendre	VER:infi	prendre
une	DET:ART	un
sage	ADJ	sage
décision	NOM	décision
qui	PRO:REL	qui
va	VER:pres	aller
permettre	VER:infi	permettre
le	DET:ART	le
maintien	NOM	maintien
d'	PRP	de
une	DET:ART	un
tradition	NOM	tradition
rurale	ADJ	rural
ancestrale	ADJ	ancestral
.	SENT	.
on	PRO:PER	on
ne	ADV	ne
peut	VER:pres	pouvoir
que	KON	que
se	PRO:PER	se
réjouir	VER:infi	réjouir
de	PRP	de
cette	PRO:DEM	ce
disposition	NOM	disposition
pleine	ADJ	plein
de	PRP	de
pragmatisme	NOM	pragmatisme
et	KON	et
de	PRP	de
bon	ADJ	bon
sens	NOM	sen|sens
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
connaître	VER:infi	connaître
tout	PRO:IND	tout
le	DET:ART	le
travail	NOM	travail
nécessaire	ADJ	nécessaire
pour	PRP	pour
la	DET:ART	le
fabrication	NOM	fabrication
d'	PRP	de
une	DET:ART	un
petite	ADJ	petit
poire	NOM	poire
,	PUN	,
d'	PRP	de
une	DET:ART	un
bonne	ADJ	bon
goutte	NOM	goutte
de	PRP	de
prune	NOM	prune
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
la	DET:ART	le
récolte	NOM	récolte
des	PRP:det	du
fruits	NOM	fruit
,	PUN	,
qui	PRO:REL	qui
passe	VER:pres	passer
nécessairement	ADV	nécessairement
par	PRP	par
la	DET:ART	le
sauvegarde	NOM	sauvegarde
des	PRP:det	du
vergers	NOM	verger
,	PUN	,
leur	DET:POS	leur
macération	NOM	macération
et	KON	et
enfin	ADV	enfin
leur	DET:POS	leur
cuisson	NOM	cuisson
pour	PRP	pour
obtenir	VER:infi	obtenir
ce	PRO:DEM	ce
breuvage	NOM	breuvage
parfois	ADV	parfois
si	ADV	si
recherché	VER:pper	rechercher
,	PUN	,
font	VER:pres	faire
partie	NOM	partie
des	PRP:det	du
savoir-faire	NOM	savoir-faire
ruraux	ADJ	rural
qui	PRO:REL	qui
donnent	VER:pres	donner
une	DET:ART	un
âme	NOM	âme
à	PRP	à
nos	DET:POS	notre
campagnes	NOM	campagne
.	SENT	.
au	PRP:det	au
delà	ADV	delà
de	PRP	de
la	DET:ART	le
simple	ADJ	simple
production	NOM	production
d'	PRP	de
un	DET:ART	un
alcool	NOM	alcool
,	PUN	,
il	PRO:PER	il
faut	VER:pres	falloir
y	PRO:PER	y
voir	VER:infi	voir
toute	PRO:IND	tout
la	DET:ART	le
convivialité	NOM	convivialité
,	PUN	,
la	DET:ART	le
chaleur	NOM	chaleur
,	PUN	,
la	DET:ART	le
proximité	NOM	proximité
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
trouve	VER:pres	trouver
lorsque	KON	lorsque
entre	PRP	entre
amis	NOM	ami
,	PUN	,
après	PRP	après
le	DET:ART	le
café	NOM	café
bien	ADV	bien
souvent	ADV	souvent
,	PUN	,
on	PRO:PER	on
déguste	VER:pres	déguster
la	DET:ART	le
«	PUN:cit	«
gnôle	NOM	gnôle
»	PUN:cit	»
toutes	PRO:IND	tout
ces	PRO:DEM	ce
valeurs	NOM	valeur
,	PUN	,
qui	PRO:REL	qui
manquent	VER:pres	manquer
à	PRP	à
notre	DET:POS	notre
