hier	ADV	hier
vers	PRP	vers
17	NUM	@card@
h	ABR	heure
,	PUN	,
une	DET:ART	un
jeune	ADJ	jeune
conductrice	NOM	conducteur
circulant	VER:ppre	circuler
sur	PRP	sur
la	DET:ART	le
petite	ADJ	petit
route	NOM	route
entre	PRP	entre
breuches	NOM	breuches
et	KON	et
saint-sauveur	NOM	saint-sauveur
,	PUN	,
sans	PRP	sans
doute	NOM	doute
surprise	VER:pper	surprendre
par	PRP	par
le	DET:ART	le
sol	NOM	sol
glissant	ADJ	glissant
,	PUN	,
a	VER:pres	avoir
perdu	VER:pper	perdre
le	DET:ART	le
contrôle	NOM	contrôle
de	PRP	de
son	DET:POS	son
véhicule	NOM	véhicule
à	PRP	à
la	DET:ART	le
sortie	NOM	sortie
d'	PRP	de
une	DET:ART	un
courbe	NOM	courbe
,	PUN	,
au	PRP:det	au
niveau	NOM	niveau
du	PRP:det	du
«	PUN:cit	«
chemin	NOM	chemin
des	PRP:det	du
pilotes	NOM	pilote
».	VER:cond	».
le	DET:ART	le
véhicule	NOM	véhicule
s'	PRO:PER	se
est	VER:pres	être
immobilisé	VER:pper	immobiliser
sur	PRP	sur
le	DET:ART	le
toit	NOM	toit
.	SENT	.
la	DET:ART	le
jeune	ADJ	jeune
femme	NOM	femme
s'	PRO:PER	se
en	PRO:PER	en
tire	VER:pres	tirer
avec	PRP	avec
une	DET:ART	un
grosse	ADJ	gros
peur	NOM	peur
et	KON	et
de	PRP	de
légères	ADJ	léger
blessures	NOM	blessure
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
été	VER:pper	être
transportée	VER:pper	transporter
au	PRP:det	au
centre	NOM	centre
hospitalier	ADJ	hospitalier
pour	PRP	pour
contrôle	NOM	contrôle
par	PRP	par
les	DET:ART	le
pompiers	NOM	pompier
.	SENT	.
