répondant	VER:ppre	répondre
à	PRP	à
l'	DET:ART	le
invitation	NOM	invitation
des	PRP:det	du
habitants	NOM	habitant
de	PRP	de
grand-charmont	ADJ	grand-charmont
village	NOM	village
,	PUN	,
une	DET:ART	un
quarantaine	NOM	quarantaine
d'	PRP	de
amateurs	NOM	amateur
de	PRP	de
vergers	NOM	verger
sont	VER:pres	être
venus	VER:pper	venir
s'	PRO:PER	se
instruire	VER:infi	instruire
ou	KON	ou
parfaire	VER:infi	parfaire
leurs	DET:POS	leur
connaissances	NOM	connaissance
en	PRP	en
arboriculture	NOM	arboriculture
en	PRP	en
assistant	NOM	assistant
à	PRP	à
un	DET:ART	un
exposé	NOM	exposé
sur	PRP	sur
«	PUN:cit	«
les	DET:ART	le
ennemis	NOM	ennemi
des	PRP:det	du
arbres	NOM	arbre
fruitiers	ADJ	fruitier
et	KON	et
les	DET:ART	le
moyens	NOM	moyen
de	PRP	de
défense	NOM	défense
»	PUN:cit	»
le	DET:ART	le
conférencier	NOM	conférencier
,	PUN	,
daniel	ADJ	daniel
etalon	NOM	etalon
,	PUN	,
membres	NOM	membre
des	PRP:det	du
croqueurs	NOM	croqueur
de	PRP	de
pommes	NOM	pomme
,	PUN	,
leur	PRO:PER	lui
a	VER:pres	avoir
fait	VER:pper	faire
un	DET:ART	un
exposé	NOM	exposé
très	ADV	très
complet	ADJ	complet
agrémenté	VER:pper	agrémenter
d'	PRP	de
une	DET:ART	un
projection	NOM	projection
de	PRP	de
diapositives	NOM	diapositive
et	KON	et
d'	PRP	de
anecdotes	NOM	anecdote
savoureuses	ADJ	savoureux
.	SENT	.
chaque	PRO:IND	chaque
catégorie	NOM	catégorie
d'	PRP	de
ennemis	NOM	ennemi
,	PUN	,
et	KON	et
ils	PRO:PER	il
sont	VER:pres	être
nombreux	ADJ	nombreux
,	PUN	,
a	VER:pres	avoir
fait	VER:pper	faire
l'	DET:ART	le
objet	NOM	objet
d'	PRP	de
une	DET:ART	un
description	NOM	description
détaillée	VER:pper	détailler
.	SENT	.
les	DET:ART	le
rongeurs	NOM	rongeur
(	PUN	(
campagnols	NOM	campagnol
),	ADJ	),
les	DET:ART	le
insectes	NOM	insecte
(	PUN	(
pucerons	NOM	puceron
,	PUN	,
chenilles	NOM	chenille
,	PUN	,
mouches	NOM	mouche
),	ADJ	),
les	DET:ART	le
acariens	NOM	acariens
(	PUN	(
araignées	NOM	araignée
rouges	ADJ	rouge
),	ADJ	),
les	DET:ART	le
champignons	NOM	champignon
(	PUN	(
tavelure	NOM	tavelure
,	PUN	,
odïum	NOM	odïum
,	PUN	,
chancre	NOM	chancre
,	PUN	,
cloque	NOM	cloque
)	PUN	)
et	KON	et
bactéries	NOM	bactérie
(	PUN	(
feu	NOM	feu
bactérien	ADJ	bactérien
)	PUN	)
peuvent	VER:pres	pouvoir
endommager	VER:infi	endommager
,	PUN	,
voire	ADV	voire
détruire	VER:infi	détruire
,	PUN	,
des	PRP:det	du
arbres	NOM	arbre
en	PRP	en
pleine	ADJ	plein
croissance	NOM	croissance
.	SENT	.
la	DET:ART	le
panoplie	NOM	panoplie
des	PRP:det	du
moyens	NOM	moyen
de	PRP	de
lutte	NOM	lutte
(	PUN	(
pièges	NOM	piège
,	PUN	,
insecticides	ADJ	insecticide
,	PUN	,
fongicides	ADJ	fongicide
)	PUN	)
a	VER:pres	avoir
été	VER:pper	être
passée	VER:pper	passer
en	PRP	en
revue	NOM	revue
et	KON	et
commentée	VER:pper	commenter
.	SENT	.
les	DET:ART	le
participants	NOM	participant
se	PRO:PER	se
sont	VER:pres	être
donnés	VER:pper	donner
rendez-vous	NOM	rendez-vous
en	PRP	en
2004	NUM	@card@
pour	PRP	pour
une	DET:ART	un
soirée	NOM	soirée
qui	PRO:REL	qui
pourrait	VER:cond	pouvoir
être	VER:infi	être
consacrée	VER:pper	consacrer
à	PRP	à
l'	DET:ART	le
initiation	NOM	initiation
à	PRP	à
la	DET:ART	le
greffe	NOM	greffe
.	SENT	.
