la	DET:ART	le
distribution	NOM	distribution
des	PRP:det	du
sacs	NOM	sac
poubelles	NOM	poubelle
se	PRO:PER	se
fera	VER:futu	faire
en	PRP	en
mairie	NOM	mairie
:	PUN	:
mercredi	NOM	mercredi
29	NUM	@card@
janvier	NOM	janvier
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
jeudi	NOM	jeudi
30	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
vendredi	NOM	vendredi
31	NUM	@card@
de	PRP	de
8	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
11	NUM	@card@
h	ABR	heure
30	NUM	@card@
et	KON	et
samedi	NOM	samedi
1	NUM	@card@
e	NOM	e
r	VER:subi	r
février	NOM	février
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h.	ABR	h.
merci	NOM	merci
de	PRP	de
bien	ADV	bien
vouloir	VER:infi	vouloir
respecter	VER:infi	respecter
ces	PRO:DEM	ce
dates	NOM	date
.	SENT	.
