il	PRO:PER	il
était	VER:impf	être
4	NUM	@card@
h	ABR	heure
10	NUM	@card@
lorsqu'un	NOM	lorsqu'un
feu	ADJ	feu
de	PRP	de
cheminée	NOM	cheminée
a	VER:pres	avoir
été	VER:pper	être
signalé	VER:pper	signaler
,	PUN	,
au	PRP:det	au
41	NUM	@card@
grande	ADJ	grand
rue	NOM	rue
.	SENT	.
rapidement	ADV	rapidement
sur	PRP	sur
les	DET:ART	le
lieux	NOM	lieu
,	PUN	,
les	DET:ART	le
pompiers	NOM	pompier
de	PRP	de
besançon	NOM	besançon
,	PUN	,
ont	VER:pres	avoir
procédé	VER:pper	procéder
aux	PRP:det	au
opérations	NOM	opération
d'	PRP	de
usage	NOM	usage
,	PUN	,
évitant	VER:ppre	éviter
une	DET:ART	un
propagation	NOM	propagation
de	PRP	de
ce	PRO:DEM	ce
début	NOM	début
d'	PRP	de
incendie	NOM	incendie
.	SENT	.
