hier	ADV	hier
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
françoise	ADJ	françoise
liboz-georges	NOM	liboz-georges
adjointe	VER:pper	adjoindre
a	VER:pres	avoir
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
jean-pierre	NOM	jean-pierre
besse	NOM	besse
agent	NOM	agent
de	PRP	de
fabrication	NOM	fabrication
avec	PRP	avec
marie-jeanne	NOM	marie-jeanne
choudey	ADJ	choudey
serveuse	NOM	serveur
.	SENT	.
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
