pendant	PRP	pendant
les	DET:ART	le
vacances	NOM	vacance
scolaires	ADJ	scolaire
de	PRP	de
février	NOM	février
,	PUN	,
la	DET:ART	le
mjc	NOM	mjc
lorraine	ADJ	lorrain
organise	VER:pres	organiser
un	DET:ART	un
stage	NOM	stage
de	PRP	de
remise	NOM	remise
en	PRP	en
forme	NOM	forme
.	SENT	.
tarifs	NOM	tarif
une	NUM	un
ou	KON	ou
plusieurs	PRO:IND	plusieurs
séances	NOM	séance
.	SENT	.
lundi	NOM	lundi
24	NUM	@card@
février	NOM	février
:	PUN	:
gym	NOM	gym
tonic	NOM	tonic
avec	PRP	avec
laurence	NOM	laurence
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
mercredi	NOM	mercredi
26	NUM	@card@
février	NOM	février
:	PUN	:
step	NOM	step
avec	PRP	avec
michel	NOM	michel
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
jeudi	NOM	jeudi
27	NUM	@card@
février	NOM	février
:	PUN	:
gym	NOM	gym
douce	ADJ	doux
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
11	NUM	@card@
h	ABR	heure
,	PUN	,
et	KON	et
gym	NOM	gym
tonique	ADJ	tonique
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
avec	PRP	avec
laurence	NOM	laurence
.	SENT	.
mardi	NOM	mardi
4	NUM	@card@
mars	NOM	mars
et	KON	et
jeudi	NOM	jeudi
6	NUM	@card@
mars	NOM	mars
:	PUN	:
aérobic	NOM	aérobic
avec	PRP	avec
eloise	NOM	eloise
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
vendredi	NOM	vendredi
7	NUM	@card@
mars	NOM	mars
:	PUN	:
atelier	NOM	atelier
chorégraphique	ADJ	chorégraphique
,	PUN	,
avec	PRP	avec
eloise	NOM	eloise
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
19	NUM	@card@
h	ABR	heure
30	NUM	@card@
