hier	ADV	hier
vers	PRP	vers
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
un	DET:ART	un
camion	NOM	camion
qui	PRO:REL	qui
circulait	VER:impf	circuler
dans	PRP	dans
les	DET:ART	le
côtes	NOM	côte
saint-pierre	NOM	saint-pierre
,	PUN	,
sur	PRP	sur
le	DET:ART	le
territoire	NOM	territoire
de	PRP	de
la	DET:ART	le
commune	NOM	commune
de	PRP	de
montauville	NOM	montauville
,	PUN	,
a	VER:pres	avoir
perdu	VER:pper	perdre
sur	PRP	sur
la	DET:ART	le
chaussée	NOM	chaussée
,	PUN	,
en	PRP	en
raison	NOM	raison
de	PRP	de
l'	DET:ART	le
ouverture	NOM	ouverture
intempestive	ADJ	intempestif
de	PRP	de
ses	DET:POS	son
portes	NOM	porte
arrières	ADJ	arrière
,	PUN	,
une	DET:ART	un
partie	NOM	partie
de	PRP	de
son	DET:POS	son
chargement	NOM	chargement
de	PRP	de
blé	NOM	blé
,	PUN	,
soit	KON	soit
environ	PRP	environ
10	NUM	@card@
quintaux	NOM	quintal
.	SENT	.
un	DET:ART	un
incident	NOM	incident
qui	PRO:REL	qui
a	VER:pres	avoir
eu	VER:pper	avoir
pour	PRP	pour
première	NUM	premier
conséquence	NOM	conséquence
de	PRP	de
provoquer	VER:infi	provoquer
un	DET:ART	un
léger	ADJ	léger
ralentissement	NOM	ralentissement
de	PRP	de
la	DET:ART	le
circulation	NOM	circulation
arrivant	VER:ppre	arriver
de	PRP	de
commercy	NOM	commercy
et	KON	et
de	PRP	de
thiaucourt	NOM	thiaucourt
.	SENT	.
le	DET:ART	le
temps	NOM	temps
pour	PRP	pour
les	DET:ART	le
sapeurs	NOM	sapeur
pompiers	ADJ	pompier
et	KON	et
les	DET:ART	le
services	NOM	service
de	PRP	de
la	DET:ART	le
dde	NOM	dde
de	PRP	de
procéder	VER:infi	procéder
au	PRP:det	au
nettoyage	NOM	nettoyage
de	PRP	de
la	DET:ART	le
route	NOM	route
rendue	VER:pper	rendre
dangereuse	ADJ	dangereux
tandis	KON	tandis
que	KON	que
les	DET:ART	le
services	NOM	service
de	PRP	de
police	NOM	police
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
régulaient	VER:impf	réguler
le	DET:ART	le
passage	NOM	passage
des	PRP:det	du
automobilistes	NOM	automobiliste
.	SENT	.
