chaque	PRO:IND	chaque
mercredi	NOM	mercredi
,	PUN	,
pendant	PRP	pendant
la	DET:ART	le
période	NOM	période
hivernale	ADJ	hivernal
,	PUN	,
les	DET:ART	le
randonneurs	NOM	randonneur
houdemontais	VER:impf	houdemontais
se	PRO:PER	se
rendent	VER:pres	rendre
dans	PRP	dans
les	DET:ART	le
vosges	ADJ	vosges
pour	PRP	pour
des	PRP:det	du
sorties	NOM	sortie
à	PRP	à
raquettes	NOM	raquette
.	SENT	.
les	DET:ART	le
lieux	NOM	lieu
sont	VER:pres	être
choisis	VER:pper	choisir
en	PRP	en
fonction	NOM	fonction
de	PRP	de
l'	DET:ART	le
enneigement	NOM	enneigement
.	SENT	.
mercredi	NOM	mercredi
,	PUN	,
la	DET:ART	le
couche	NOM	couche
de	PRP	de
neige	NOM	neige
très	ADV	très
importante	ADJ	important
a	VER:pres	avoir
permis	VER:pper	permettre
une	DET:ART	un
randonnée	NOM	randonnée
vivifiante	ADJ	vivifiant
au	PRP:det	au
milieu	NOM	milieu
d'	PRP	de
un	DET:ART	un
décor	NOM	décor
de	PRP	de
rêve	NOM	rêve
.	SENT	.
ces	PRO:DEM	ce
sorties	NOM	sortie
du	PRP:det	du
mercredi	NOM	mercredi
,	PUN	,
celles	PRO:DEM	celui
du	PRP:det	du
dimanche	NOM	dimanche
(	PUN	(
raquettes	NOM	raquette
ou	KON	ou
ski	NOM	ski
de	PRP	de
fond	NOM	fond
)	PUN	)
et	KON	et
les	DET:ART	le
stages	NOM	stage
dans	PRP	dans
les	DET:ART	le
alpes	NOM	alpe
s'	PRO:PER	se
inscrivent	VER:pres	inscrire
dans	PRP	dans
un	DET:ART	un
programme	NOM	programme
de	PRP	de
neige	NOM	neige
élaboré	VER:pper	élaborer
par	PRP	par
«	PUN:cit	«
les	DET:ART	le
randonneurs	NOM	randonneur
houdemontais	VER:impf	houdemontais
».	VER:pper	».
pour	PRP	pour
plus	ADV	plus
de	PRP	de
renseignements	NOM	renseignement
,	PUN	,
contacter	VER:infi	contacter
l'	DET:ART	le
association	NOM	association
,	PUN	,
3	NUM	@card@
rue	NOM	rue
du	PRP:det	du
pavillon	NOM	pavillon
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.83	NUM	@card@
.	SENT	.
51.43	NUM	@card@
.	SENT	.
41	NUM	@card@
