tous	PRO:IND	tout
les	DET:ART	le
matins	NOM	matin
,	PUN	,
jean-paul	NOM	jean-paul
clavel	ADJ	clavel
trouvait	VER:impf	trouver
que	KON	que
sa	DET:POS	son
journée	NOM	journée
commençait	VER:impf	commencer
bien	ADV	bien
,	PUN	,
en	PRO:PER	en
entendant	VER:ppre	entendre
cet	PRO:DEM	ce
air	NOM	air
de	PRP	de
puccini	NOM	puccini
.	SENT	.
le	PRO:PER	le
missa	VER:simp	missa
di	VER:pper	di
gloria	NOM	gloria
.	SENT	.
une	DET:ART	un
musique	NOM	musique
religieuse	ADJ	religieux
,	PUN	,
fraîche	ADJ	frais
et	KON	et
entraînante	ADJ	entraînant
,	PUN	,
balancée	VER:pper	balancer
sur	PRP	sur
les	DET:ART	le
ondes	NOM	onde
par	PRP	par
philippe	NOM	philippe
caloni	ADJ	caloni
.	SENT	.
petit	ADJ	petit
à	PRP	à
petit	ADJ	petit
,	PUN	,
la	DET:ART	le
mélodie	NOM	mélodie
a	VER:pres	avoir
fait	VER:pper	faire
son	DET:POS	son
nid	NOM	nid
:	PUN	:
«	PUN:cit	«
pourquoi	ADV	pourquoi
pas	ADV	pas
mettre	VER:infi	mettre
cette	PRO:DEM	ce
	ADJ	
uvre	NOM	uvre
au	PRP:det	au
programme	NOM	programme
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
musique	NOM	musique
?	SENT	?
»	PUN:cit	»
il	PRO:PER	il
ne	ADV	ne
manquait	VER:impf	manquer
pas	ADV	pas
d'	PRP	de
air	NOM	air
,	PUN	,
le	DET:ART	le
professeur	NOM	professeur
!	SENT	!
car	KON	car
si	KON	si
la	DET:ART	le
musique	NOM	musique
est	VER:pres	être
pleine	ADJ	plein
d'	PRP	de
allant	NOM	allant
,	PUN	,
que	KON	que
sais-je	ADJ	sais-je
,	PUN	,
d'	PRP	de
émotion	NOM	émotion
et	KON	et
de	PRP	de
variété	NOM	variété
,	PUN	,
elle	PRO:PER	elle
n'	ADV	ne
en	PRO:PER	en
réclame	VER:pres	réclamer
pas	ADV	pas
moins	ADV	moins
une	DET:ART	un
majestueuse	ADJ	majestueux
mobilisation	NOM	mobilisation
!	SENT	!
pas	ADV	pas
moins	ADV	moins
de	PRP	de
150	NUM	@card@
musiciens	NOM	musicien
et	KON	et
choristes	NOM	choriste
,	PUN	,
au	PRP:det	au
bas	ADJ	bas
mot	NOM	mot
,	PUN	,
pour	PRP	pour
restituer	VER:infi	restituer
un	DET:ART	un
peu	ADV	peu
de	PRP	de
son	DET:POS	son
originelle	ADJ	originel
ampleur	NOM	ampleur
.	SENT	.
mais	KON	mais
la	DET:ART	le
petite	ADJ	petit
musique	NOM	musique
avait	VER:impf	avoir
fait	VER:pper	faire
son	DET:POS	son
chemin	NOM	chemin
.	SENT	.
jean-paul	NOM	jean-paul
a	VER:pres	avoir
rallié	VER:pper	rallier
à	PRP	à
son	DET:POS	son
panache	NOM	panache
sa	DET:POS	son
cons	ADJ	con
	NOM	
ur	VER:subi	ur
de	PRP	de
l'	DET:ART	le
école	NOM	école
de	PRP	de
musique	NOM	musique
.	SENT	.
et	KON	et
voici	ADV	voici
les	DET:ART	le
compères	NOM	compère
qui	PRO:REL	qui
se	PRO:PER	se
lancent	VER:pres	lancer
dans	PRP	dans
l'	DET:ART	le
aventure	NOM	aventure
.	SENT	.
monter	VER:infi	monter
puccini	NOM	puccini
avec	PRP	avec
les	DET:ART	le
seules	ADJ	seul
ressources	NOM	ressource
spinaliennes	ADJ	spinaliennes
:	PUN	:
c'	PRO:DEM	ce
est	VER:pres	être
la	DET:ART	le
philosophie	NOM	philosophie
têtue	ADJ	têtu
de	PRP	de
ce	PRO:DEM	ce
projet	NOM	projet
à	PRP	à
présent	NOM	présent
bien	ADV	bien
avancé	VER:pper	avancer
.	SENT	.
les	DET:ART	le
professionnels	NOM	professionnel
s'	PRO:PER	se
y	PRO:PER	y
mettent	VER:pres	mettre
à	PRP	à
l'	DET:ART	le
unisson	NOM	unisson
des	PRP:det	du
amateurs	NOM	amateur
.	SENT	.
les	DET:ART	le
40	NUM	@card@
lycéens	NOM	lycéen
de	PRP	de
claude	NOM	claude
gellée	VER:pper	gellée
font	VER:pres	faire
leurs	DET:POS	leur
gammes	NOM	gamme
au	PRP:det	au
côté	NOM	côté
de	PRP	de
don	NOM	don
bennington	NOM	bennington
,	PUN	,
l'	DET:ART	le
ami	NOM	ami
néo-zélandais	ADJ	néo-zélandais
qui	PRO:REL	qui
avait	VER:impf	avoir
joliment	ADV	joliment
troussé	VER:pper	trousser
gershwin	NOM	gershwin
l'	DET:ART	le
an	NOM	an
dernier	ADJ	dernier
.	SENT	.
chef	NOM	chef
de	PRP	de
ch	NOM	ch
	ADJ	
ur	VER:simp	ur
de	PRP	de
la	DET:ART	le
chorale	ADJ	choral
«	PUN:cit	«
chante	VER:pres	chanter
ami	ADJ	ami
»,	NOM	»,
le	DET:ART	le
soliste	NOM	soliste
jean-sébastien	ADJ	jean-sébastien
baraban	NOM	baraban
se	PRO:PER	se
met	VER:pres	mettre
au	PRP:det	au
diapason	NOM	diapason
de	PRP	de
l'	DET:ART	le
orchestre	NOM	orchestre
de	PRP	de
chambre	NOM	chambre
d'	PRP	de
epinal	NOM	epinal
et	KON	et
de	PRP	de
l'	DET:ART	le
orchestre	NOM	orchestre
d'	PRP	de
harmonie	NOM	harmonie
...	PUN	...
bref	ADJ	bref
,	PUN	,
un	DET:ART	un
pari	NOM	pari
un	DET:ART	un
peu	ADV	peu
fou	ADJ	fou
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
amusant	ADJ	amusant
de	PRP	de
voir	VER:infi	voir
comme	ADV	comme
les	DET:ART	le
grandes	ADJ	grand
découvertes	NOM	découverte
naissent	VER:pres	naître
parfois	ADV	parfois
du	PRP:det	du
quotidien	NOM	quotidien
le	DET:ART	le
plus	ADV	plus
banal	ADJ	banal
.	SENT	.
la	DET:ART	le
petite	ADJ	petit
musique	NOM	musique
cueillie	VER:pper	cueillir
à	PRP	à
la	DET:ART	le
radio	NOM	radio
un	DET:ART	un
matin	NOM	matin
,	PUN	,
pour	PRP	pour
les	DET:ART	le
musiciens	NOM	musicien
spinaliens	ADJ	spinaliens
,	PUN	,
ça	PRO:DEM	cela
été	NOM	été
un	DET:ART	un
peu	ADV	peu
comme	ADV	comme
leur	DET:POS	leur
pomme	NOM	pomme
de	PRP	de
newton	NOM	newton
!	SENT	!
