arnaud	NAM	Arnaud
scholler	NOM	scholler
(	PUN	(
présidence	NOM	présidence
),	ADJ	),
olivier	NOM	olivier
delon	NOM	delon
(	PUN	(
vice-présidence	NOM	vice-présidence
et	KON	et
vestiaire	NOM	vestiaire
),	ADJ	),
gaby	ADJ	gaby
bontems	NOM	bontems
(	PUN	(
trésorier	NOM	trésorier
),	ADJ	),
denis	NOM	denis
jeandel	NOM	jeandel
(	PUN	(
directeur	ADJ	directeur
école	NOM	école
de	PRP	de
musique	NOM	musique
et	KON	et
chef	NOM	chef
d'	PRP	de
orchestre	NOM	orchestre
),	ADJ	),
myriam	NOM	myriam
scholler	NOM	scholler
(	PUN	(
secrétaire	NOM	secrétaire
),	ADJ	),
magali	VER:pper	magali
ferry	NOM	ferry
(	PUN	(
achats	NOM	achat
),	ADJ	),
claude	NOM	claude
henry	NOM	henry
(	PUN	(
fêtes	NOM	fête
et	KON	et
cérémonies	NOM	cérémonie
),	ADJ	),
yvan	NOM	yvan
contois	ADJ	contois
,	PUN	,
rené	VER:pper	renaître
mischler	NOM	mischler
(	PUN	(
cotisations	NOM	cotisation
),	ADJ	),
yvan	ADJ	yvan
poirot	NOM	poirot
(	PUN	(
instruments	NOM	instrument
),	ADJ	),
cathy	ADJ	cathy
delon	NOM	delon
(	PUN	(
secrétaire	NOM	secrétaire
école	NOM	école
de	PRP	de
musique	NOM	musique
)	PUN	)
ont	VER:pres	avoir
été	VER:pper	être
reconduits	VER:pper	reconduire
dans	PRP	dans
leurs	DET:POS	leur
fonctions	NOM	fonction
.	SENT	.
seul	ADJ	seul
,	PUN	,
jean-christophe	NOM	jean-christophe
bernardin	NOM	bernardin
,	PUN	,
trop	ADV	trop
absorbé	VER:pper	absorber
par	PRP	par
ses	DET:POS	son
occupations	NOM	occupation
professionnelles	ADJ	professionnel
,	PUN	,
a	VER:pres	avoir
démissionné	VER:pper	démissionner
,	PUN	,
mais	KON	mais
va	VER:pres	aller
bien	ADV	bien
