chaque	PRO:IND	chaque
début	NOM	début
d'	PRP	de
année	NOM	année
,	PUN	,
les	DET:ART	le
services	NOM	service
de	PRP	de
l'	DET:ART	le
état-civil	NOM	état-civil
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
delle	NOM	delle
communiquent	VER:pres	communiquer
les	DET:ART	le
naissances	NOM	naissance
,	PUN	,
décès	NOM	décès
et	KON	et
mariages	NOM	mariage
enregistrés	VER:pper	enregistrer
sur	PRP	sur
les	DET:ART	le
registres	NOM	registre
.	SENT	.
cela	PRO:DEM	cela
permet	VER:pres	permettre
d'	PRP	de
analyser	VER:infi	analyser
l'	DET:ART	le
évolution	NOM	évolution
de	PRP	de
la	DET:ART	le
démographie	NOM	démographie
locale	ADJ	local
.	SENT	.
pour	PRP	pour
2002	NUM	@card@
le	DET:ART	le
registre	NOM	registre
des	PRP:det	du
naissances	NOM	naissance
a	VER:pres	avoir
enregistré	VER:pper	enregistrer
89	NUM	@card@
bébés	NOM	bébé
.	SENT	.
l'	DET:ART	le
an	NOM	an
passé	VER:pper	passer
,	PUN	,
69	NUM	@card@
étaient	VER:impf	être
nés	VER:pper	naître
.	SENT	.
c'	PRO:DEM	ce
est	VER:pres	être
donc	ADV	donc
une	DET:ART	un
belle	ADJ	beau
augmentation	NOM	augmentation
que	PRO:REL	que
l'	DET:ART	le
on	PRO:PER	on
constate	VER:pres	constater
par	PRP	par
rapport	NOM	rapport
à	PRP	à
2001	NUM	@card@
en	PRP	en
2000	NUM	@card@
ils	PRO:PER	il
avaient	VER:impf	avoir
été	VER:pper	être
de	PRP	de
88	NUM	@card@
et	KON	et
en	PRP	en
1999	NUM	@card@
ils	PRO:PER	il
n'	ADV	ne
étaient	VER:impf	être
que	ADV	que
50	NUM	@card@
l'	DET:ART	le
an	NOM	an
2002	NUM	@card@
a	VER:pres	avoir
donc	ADV	donc
été	VER:pper	être
une	DET:ART	un
année	NOM	année
bien	ADV	bien
fertile	ADJ	fertile
.	SENT	.
dans	PRP	dans
ces	PRO:DEM	ce
89	NUM	@card@
naissances	NOM	naissance
,	PUN	,
on	PRO:PER	on
compte	VER:pres	compter
44	NUM	@card@
garçons	NOM	garçon
et	KON	et
45	NUM	@card@
filles	NOM	fille
.	SENT	.
avec	PRP	avec
12	NUM	@card@
bébés	NOM	bébé
,	PUN	,
le	DET:ART	le
mois	NOM	moi|mois
de	PRP	de
février	NOM	février
est	VER:pres	être
celui	PRO:DEM	celui
où	PRO:REL	où
il	PRO:PER	il
y	PRO:PER	y
a	VER:pres	avoir
eu	VER:pper	avoir
le	DET:ART	le
plus	ADV	plus
de	PRP	de
naissances	NOM	naissance
,	PUN	,
suivi	VER:pper	suivre
de	PRP	de
janvier	NOM	janvier
,	PUN	,
mai	NOM	mai
et	KON	et
juillet	NOM	juillet
(	PUN	(
9	NUM	@card@
).	ABR	).
les	DET:ART	le
