hier	ADV	hier
,	PUN	,
à	PRP	à
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
andré	NOM	andré
helle	ADJ	helle
,	PUN	,
adjoint	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
a	VER:pres	avoir
célébré	VER:pper	célébrer
le	DET:ART	le
premier	NUM	premier
mariage	NOM	mariage
de	PRP	de
l'	DET:ART	le
année	NOM	année
en	PRO:PER	en
unissant	VER:ppre	unir
andré	ADJ	andré
guyon	NOM	guyon
,	PUN	,
agent	NOM	agent
de	PRP	de
fabrication	NOM	fabrication
,	PUN	,
né	VER:pper	naître
à	PRP	à
montbéliard	NOM	montbéliard
le	DET:ART	le
8	NUM	@card@
juillet	NOM	juillet
1981	NUM	@card@
et	KON	et
céline	NOM	céline
hernandez	ADJ	hernandez
,	PUN	,
née	VER:pper	naître
le	DET:ART	le
13	NUM	@card@
juillet	NOM	juillet
1980	NUM	@card@
à	PRP	à
belfort	NOM	belfort
.	SENT	.
nos	DET:POS	notre
meilleurs	ADJ	meilleur
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
