lors	ADV	lors
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
de	PRP	de
la	DET:ART	le
société	NOM	société
de	PRP	de
pêche	NOM	pêche
la	DET:ART	le
fario	NOM	fario
,	PUN	,
les	DET:ART	le
débats	NOM	débat
ont	VER:pres	avoir
été	VER:pper	être
ouverts	VER:pper	ouvrir
par	PRP	par
le	DET:ART	le
rappel	NOM	rappel
de	PRP	de
l'	DET:ART	le
historique	NOM	historique
de	PRP	de
la	DET:ART	le
société	NOM	société
.	SENT	.
après	PRP	après
le	DET:ART	le
bilan	NOM	bilan
des	PRP:det	du
activités	NOM	activité
2002	NUM	@card@
le	DET:ART	le
compte	NOM	compte
rendu	VER:pper	rendre
financier	ADJ	financier
et	KON	et
le	DET:ART	le
rappel	NOM	rappel
de	PRP	de
la	DET:ART	le
réglementation	NOM	réglementation
,	PUN	,
les	DET:ART	le
responsables	ADJ	responsable
ont	VER:pres	avoir
fait	VER:pper	faire
le	DET:ART	le
point	NOM	point
sur	PRP	sur
les	DET:ART	le
actions	NOM	action
à	PRP	à
venir	VER:infi	venir
,	PUN	,
avec	PRP	avec
une	DET:ART	un
volonté	NOM	volonté
affichée	VER:pper	afficher
de	PRP	de
dynamisme	NOM	dynamisme
au	PRP:det	au
sein	NOM	sein
de	PRP	de
la	DET:ART	le
commune	NOM	commune
.	SENT	.
organisation	NOM	organisation
de	PRP	de
manifestations	NOM	manifestation
.	SENT	.
aide	NOM	aide
soutenue	VER:pper	soutenir
au	PRP:det	au
comité	NOM	comité
des	PRP:det	du
fêtes	NOM	fête
pour	PRP	pour
la	DET:ART	le
fête	NOM	fête
de	PRP	de
la	DET:ART	le
truite	NOM	truite
du	PRP:det	du
6	NUM	@card@
juillet	NOM	juillet
.	SENT	.
journée	NOM	journée
pêche	VER:pres	pêcher
enfants	NOM	enfant
(	PUN	(
démonstrations	NOM	démonstration
,	PUN	,
montage	NOM	montage
de	PRP	de
mouches	NOM	mouche
).	VER:subi	).
journée	NOM	journée
pêche	VER:pres	pêcher
à	PRP	à
la	DET:ART	le
truite	NOM	truite
.	SENT	.
journées	NOM	journée
nettoyage	NOM	nettoyage
(	PUN	(
entretien	NOM	entretien
du	PRP:det	du
rupt	NOM	rupt
).	VER:cond	).
téléthon	NOM	téléthon
.	SENT	.
alevinage	NOM	alevinage
des	PRP:det	du
truites	NOM	truite
fario	ADJ	fario
et	KON	et
des	PRP:det	du
truitelles	NOM	truitelle
sauvages	ADJ	sauvage
.	SENT	.
organisation	NOM	organisation
du	PRP:det	du
repas	NOM	repas
du	PRP:det	du
26	NUM	@card@
avril	NOM	avril
limité	VER:pper	limiter
à	PRP	à
180	NUM	@card@
personnes	NOM	personne
.	SENT	.
