co	ADJ	co
blenod	NOM	blenod
football	NOM	football
cherche	VER:pres	chercher
pour	PRP	pour
seniors	NOM	senior
1	NUM	@card@
le	DET:ART	le
26	NUM	@card@
janvier	NOM	janvier
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
,	PUN	,
le	DET:ART	le
2	NUM	@card@
février	NOM	février
à	PRP	à
domicile	NOM	domicile
et	KON	et
le	DET:ART	le
16	NUM	@card@
février	NOM	février
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
.	SENT	.
pour	PRP	pour
ses	DET:POS	son
seniors	NOM	senior
2	NUM	@card@
le	DET:ART	le
19	NUM	@card@
janvier	NOM	janvier
à	PRP	à
domicile	NOM	domicile
,	PUN	,
le	DET:ART	le
26	NUM	@card@
janvier	NOM	janvier
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
,	PUN	,
le	DET:ART	le
2	NUM	@card@
février	NOM	février
à	PRP	à
domicile	NOM	domicile
,	PUN	,
le	DET:ART	le
16	NUM	@card@
février	NOM	février
0	NUM	@card@
l'	DET:ART	le
extérieur	NOM	extérieur
.	SENT	.
pour	PRP	pour
ses	DET:POS	son
15	NUM	@card@
ans	NOM	an
,	PUN	,
le	DET:ART	le
11	NUM	@card@
janvier	NOM	janvier
à	PRP	à
domicile	NOM	domicile
,	PUN	,
le	DET:ART	le
25	NUM	@card@
janvier	NOM	janvier
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
,	PUN	,
le	DET:ART	le
22	NUM	@card@
février	NOM	février
à	PRP	à
domicile	NOM	domicile
.	SENT	.
pour	PRP	pour
ses	DET:POS	son
13	NUM	@card@
ans	NOM	an
,	PUN	,
le	DET:ART	le
11	NUM	@card@
janvier	NOM	janvier
à	PRP	à
domicile	NOM	domicile
,	PUN	,
le	DET:ART	le
25	NUM	@card@
janvier	NOM	janvier
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
,	PUN	,
le	DET:ART	le
22	NUM	@card@
février	NOM	février
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
.	SENT	.
contact	NOM	contact
:	PUN	:
m.	ABR	m.
coste	NOM	coste
06.75	NUM	@card@
.	SENT	.
65.11	NUM	@card@
.	SENT	.
94	NUM	@card@
usv	NOM	usv
vétérans	NOM	vétéran
cherche	VER:pres	chercher
match	NOM	match
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
,	PUN	,
le	DET:ART	le
19	NUM	@card@
janvier	NOM	janvier
2003	NUM	@card@
et	KON	et
match	NOM	match
à	PRP	à
domicile	NOM	domicile
,	PUN	,
le	DET:ART	le
26	NUM	@card@
janvier	NOM	janvier
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.08	NUM	@card@
.	SENT	.
83.26	NUM	@card@
.	SENT	.
02	NUM	@card@
custines-malleloy	NOM	custines-malleloy
(	PUN	(
dhr	NOM	dhr
)	PUN	)
cherche	VER:pres	chercher
match	NOM	match
pour	PRP	pour
le	DET:ART	le
11	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
domicile	NOM	domicile
ou	KON	ou
à	PRP	à
l'	DET:ART	le
extérieur	NOM	extérieur
,	PUN	,
contre	PRP	contre
équipe	NOM	équipe
de	PRP	de
ligue	NOM	ligue
.	SENT	.
tél	ABR	téléphone
.	SENT	.
:	PUN	:
03	NUM	@card@
/	PUN	/
83	NUM	@card@
/	PUN	/
24	NUM	@card@
/	PUN	/
96	NUM	@card@
/	PUN	/
58	NUM	@card@
(	PUN	(
m.	ABR	m.
swistek	NOM	swistek
).	ADJ	).
