ce	PRO:DEM	ce
n'	ADV	ne
est	VER:pres	être
pas	ADV	pas
parce	KON	parce
qu'	PRO:REL	que
on	PRO:PER	on
avait	VER:impf	avoir
omis	VER:pper	omettre
d'	PRP	de
en	PRO:PER	en
parler	VER:infi	parler
qu'	KON	que
elles	PRO:PER	elle
en	PRO:PER	en
avaient	VER:impf	avoir
été	VER:pper	être
privées	VER:pper	priver
:	PUN	:
les	DET:ART	le
trois	NUM	trois
classes	NOM	classe
maternelles	ADJ	maternel
du	PRP:det	du
groupe	NOM	groupe
scolaire	ADJ	scolaire
d'	PRP	de
euville	NOM	euville
se	PRO:PER	se
sont	VER:pres	être
bien	ADV	bien
réunies	VER:pper	réunir
au	PRP:det	au
pied	NOM	pied
du	PRP:det	du
sapin	NOM	sapin
de	PRP	de
noël	NOM	noël
pour	PRP	pour
partager	VER:infi	partager
un	DET:ART	un
bon	ADJ	bon
moment	NOM	moment
de	PRP	de
détente	NOM	détente
en	PRP	en
présence	NOM	présence
des	PRP:det	du
parents	NOM	parent|parents
.	SENT	.
il	PRO:PER	il
aurait	VER:cond	avoir
fait	NOM	fait
beau	ADJ	beau
voir	VER:infi	voir
,	PUN	,
vraiment	ADV	vraiment
,	PUN	,
que	KON	que
le	DET:ART	le
père	NOM	père
noël	NOM	noël
soit	VER:subp	être
accusé	VER:pper	accuser
de	PRP	de
lacune	NOM	lacune
dans	PRP	dans
le	DET:ART	le
petit	ADJ	petit
établissement	NOM	établissement
où	PRO:REL	où
l'	PRO:PER	la|le
attendait	VER:impf	attendre
,	PUN	,
bien	ADV	bien
évidemment	ADV	évidemment
,	PUN	,
tant	ADV	tant
d'	PRP	de
enfants	NOM	enfant
!	SENT	!
