m.	ABR	m.
josé	ADJ	josé
nardin	NOM	nardin
1	NUM	@card@
rue	NOM	rue
maréchal	NOM	maréchal
leclerc	NOM	leclerc
25600	NUM	@card@
vieux	NOM	vieux
charmont	VER:futu	charmont
.	SENT	.
et	KON	et
recommencent	VER:pres	recommencer
les	DET:ART	le
sempiternelles	ADJ	sempiternel
revendications	NOM	revendication
des	PRP:det	du
chasseurs	NOM	chasseur
;	PUN	;
le	DET:ART	le
mercredi	NOM	mercredi
,	PUN	,
jour	NOM	jour
de	PRP	de
repos	NOM	repos
des	PRP:det	du
enfants	NOM	enfant
,	PUN	,
permet	VER:pres	permettre
de	PRP	de
les	PRO:PER	la|le
aérer	VER:infi	aérer
,	PUN	,
de	PRP	de
leur	PRO:PER	lui
faire	VER:infi	faire
reconnaître	VER:infi	reconnaître
plantes	NOM	plante
,	PUN	,
arbres	NOM	arbre
,	PUN	,
champignons	NOM	champignon
,	PUN	,
et	KON	et
tout	PRO:IND	tout
ce	PRO:DEM	ce
que	PRO:REL	que
la	DET:ART	le
nature	NOM	nature
,	PUN	,
dans	PRP	dans
ses	DET:POS	son
derniers	ADJ	dernier
retranchements	NOM	retranchement
,	PUN	,
recèle	VER:pres	receler|recéler
.	SENT	.
mais	KON	mais
les	DET:ART	le
chasseurs	NOM	chasseur
sont	VER:pres	être
là	ADV	là
-	PUN	-
cette	PRO:DEM	ce
élite	NOM	élite
qui	PRO:REL	qui
n'	ADV	ne
a	VER:pres	avoir
que	KON	que
ses	DET:POS	son
armes	NOM	arme
pour	PRP	pour
se	PRO:PER	se
mettre	VER:infi	mettre
en	PRP	en
valeur	NOM	valeur
,	PUN	,
revendiquent	VER:pres	revendiquer
le	DET:ART	le
droit	NOM	droit
de	PRP	de
chasse	NOM	chasse
le	DET:ART	le
mercredi	NOM	mercredi
pour	PRP	pour
initier	VER:infi	initier
leurs	DET:POS	leur
enfants	NOM	enfant
.	SENT	.
trouvant	VER:ppre	trouver
déjà	ADV	déjà
anormal	ADJ	anormal
le	DET:ART	le
droit	NOM	droit
d'	PRP	de
accès	NOM	accès
aux	PRP:det	au
terrains	NOM	terrain
privés	VER:pper	priver
par	PRP	par
ces	PRO:DEM	ce
«	PUN:cit	«
nemrods	NOM	nemrod
»,	ADJ	»,
j'	PRO:PER	je
aimerais	VER:cond	aimer
,	PUN	,
au	PRP:det	au
nom	NOM	nom
de	PRP	de
l'	DET:ART	le
egalité	NOM	egalité
de	PRP	de
notre	DET:POS	notre
fière	ADJ	fier
devise	NOM	devise
,	PUN	,
que	KON	que
la	DET:ART	le
liberté	NOM	liberté
de	PRP	de
se	PRO:PER	se
promener	VER:infi	promener
dans	PRP	dans
les	DET:ART	le
terrains	NOM	terrain
communaux	ADJ	communal
soit	VER:subp	être
établie	VER:pper	établir
au	PRP:det	au
prorata	NOM	prorata
des	PRP:det	du
citoyens	NOM	citoyen
...	PUN	...
en	PRP	en
toute	PRO:IND	tout
fraternité	NOM	fraternité
.	SENT	.
