metz	ABR	metz
.	SENT	.
_	NOM	_
des	PRP:det	du
salariés	NOM	salarié
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
muller	NOM	muller
travaux	NOM	travail
publics	ADJ	public
de	PRP	de
boulay	NOM	boulay
,	PUN	,
placée	VER:pper	placer
en	PRP	en
redressement	NOM	redressement
judiciaire	ADJ	judiciaire
le	DET:ART	le
mois	NOM	moi|mois
dernier	ADJ	dernier
,	PUN	,
manifesteront	VER:futu	manifester
le	DET:ART	le
28	NUM	@card@
janvier	NOM	janvier
prochain	ADJ	prochain
à	PRP	à
bruxelles	NOM	bruxelles
devant	PRP	devant
le	DET:ART	le
siège	NOM	siège
de	PRP	de
besix	NOM	besix
,	PUN	,
propriétaire	ADJ	propriétaire
de	PRP	de
l'	DET:ART	le
entreprise	NOM	entreprise
.	SENT	.
la	DET:ART	le
société	NOM	société
muller	NOM	muller
tp	NOM	tp
,	PUN	,
dont	PRO:REL	dont
le	DET:ART	le
siège	NOM	siège
est	VER:pres	être
basé	VER:pper	baser
à	PRP	à
boulay	NOM	boulay
en	PRP	en
moselle	ADJ	moselle
et	KON	et
qui	PRO:REL	qui
compte	VER:pres	compter
environ	PRP	environ
880	NUM	@card@
salariés	NOM	salarié
en	PRP	en
france	NOM	france
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
placée	VER:pper	placer
le	DET:ART	le
11	NUM	@card@
décembre	NOM	décembre
dernier	ADJ	dernier
en	PRP	en
redressement	NOM	redressement
judiciaire	ADJ	judiciaire
par	PRP	par
la	DET:ART	le
chambre	NOM	chambre
commerciale	ADJ	commercial
du	PRP:det	du
tgi	NOM	tgi
de	PRP	de
metz	NAM	Metz
après	PRP	après
avoir	VER:infi	avoir
déposé	VER:pper	déposer
son	DET:POS	son
bilan	NOM	bilan
en	PRP	en
raison	NOM	raison
d'	PRP	de
un	DET:ART	un
passif	NOM	passif
de	PRP	de
26	NUM	@card@
millions	NOM	million
d'	PRP	de
euros	NOM	euro
.	SENT	.
deux	NUM	deux
administrateurs	NOM	administrateur
ont	VER:pres	avoir
été	VER:pper	être
nommés	VER:pper	nommer
pour	PRP	pour
une	DET:ART	un
période	NOM	période
six	NUM	six
mois	NOM	moi|mois
.	SENT	.
les	DET:ART	le
salariés	NOM	salarié
manifesteront	VER:futu	manifester
à	PRP	à
l'	DET:ART	le
appel	NOM	appel
de	PRP	de
l'	DET:ART	le
intersyndicale	ADJ	intersyndical
à	PRP	à
l'	DET:ART	le
occasion	NOM	occasion
du	PRP:det	du
conseil	NOM	conseil
d'	PRP	de
administration	NOM	administration
de	PRP	de
la	DET:ART	le
société	NOM	société
belge	ADJ	belge
.	SENT	.
l'	DET:ART	le
entreprise	NOM	entreprise
mosellane	ADJ	mosellan
rachetée	VER:pper	racheter
en	PRP	en
1998	NUM	@card@
par	PRP	par
le	DET:ART	le
groupe	NOM	groupe
belge	ADJ	belge
besix	NOM	besix
,	PUN	,
lui	PRO:PER	lui
même	ADV	même
filiale	ADJ	filial
de	PRP	de
la	DET:ART	le
société	NOM	société
belge	ADJ	belge
des	PRP:det	du
bétons	NOM	béton
(	PUN	(
sbb	NOM	sbb
),	ADJ	),
a	VER:pres	avoir
connu	VER:pper	connaître
d'	PRP	de
importantes	ADJ	important
pertes	NOM	perte
notamment	ADV	notamment
sur	PRP	sur
les	DET:ART	le
marchés	NOM	marché
de	PRP	de
génie	NOM	génie
civil	ADJ	civil
.	SENT	.
face	NOM	face
aux	PRP:det	au
difficultés	NOM	difficulté
financières	ADJ	financier
,	PUN	,
et	KON	et
«	PUN:cit	«
malgré	PRP	malgré
les	DET:ART	le
efforts	NOM	effort
de	PRP	de
négociation	NOM	négociation
(...	VER:subi	(...
),	ADJ	),
aucun	PRO:IND	aucun
accord	NOM	accord
n'	ADV	ne
a	VER:pres	avoir
pu	VER:pper	pouvoir
être	VER:infi	être
trouvé	VER:pper	trouver
avec	PRP	avec
les	DET:ART	le
banques	NOM	banque
»	PUN:cit	»
qui	PRO:REL	qui
soutenaient	VER:impf	soutenir
la	DET:ART	le
société	NOM	société
,	PUN	,
avait	VER:impf	avoir
souligné	VER:pper	souligner
la	DET:ART	le
direction	NOM	direction
lors	ADV	lors
de	PRP	de
la	DET:ART	le
mise	NOM	mise
en	PRP	en
redressement	NOM	redressement
judiciaire	ADJ	judiciaire
en	PRP	en
décembre	NOM	décembre
.	SENT	.
la	DET:ART	le
société	NOM	société
muller	NOM	muller
travaux	NOM	travail
publics	ADJ	public
,	PUN	,
créée	VER:pper	créer
en	PRP	en
1928	NUM	@card@
est	VER:pres	être
le	DET:ART	le
quatrième	NUM	quatrième
terrassier	NOM	terrassier
français	ADJ	français
.	SENT	.
les	DET:ART	le
quelque	PRO:IND	quelque
880	NUM	@card@
salariés	NOM	salarié
sont	VER:pres	être
répartis	VER:pper	répartir
sur	PRP	sur
plusieurs	PRO:IND	plusieurs
sites	NOM	site
en	PRP	en
france	NOM	france
,	PUN	,
lognes	NOM	lognes
(	PUN	(
seine-et-marne	VER:pres	seine-et-marne
),	NOM	),
boulay	ADJ	boulay
(	PUN	(
moselle	ADJ	moselle
),	NOM	),
toulouse	ADJ	toulouse
,	PUN	,
et	KON	et
sur	PRP	sur
plusieurs	PRO:IND	plusieurs
chantiers	NOM	chantier
actuellement	ADV	actuellement
en	PRP	en
cours	NOM	cour|cours
.	SENT	.
