ce	PRO:DEM	ce
soir	NOM	soir
(	PUN	(
19	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
pau-orthez	VER:pres	pau-orthez
(	PUN	(
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
20	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
villeurbanne	NOM	villeurbanne
(	PUN	(
3	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
(	PUN	(
sur	PRP	sur
sport	NOM	sport
+)	ADJ	+)
20	NUM	@card@
h	ABR	heure
:	PUN	:
le	DET:ART	le
mans	NOM	man
(	PUN	(
2	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
paris	NOM	pari
br	ADJ	br
(	PUN	(
11	NUM	@card@
e,	ABR	e,
14	NUM	@card@
pts	NOM	pts
)	PUN	)
chalon-sur-saône	NOM	chalon-sur-saône
(	PUN	(
13	NUM	@card@
e,	ABR	e,
13	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
cholet	NOM	cholet
(	PUN	(
4	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
vichy	NOM	vichy
(	PUN	(
8	NUM	@card@
e,	ABR	e,
16	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
gravelines	NOM	gravelines
(	PUN	(
5	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
dijon	NOM	dijon
(	PUN	(
9	NUM	@card@
e,	ABR	e,
15	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
le	DET:ART	le
havre	NOM	havre
(	PUN	(
6	NUM	@card@
e,	ABR	e,
16	NUM	@card@
pts	NOM	pts
)	PUN	)
hyères-toulon	NOM	hyères-toulon
(	PUN	(
10	NUM	@card@
e,	ABR	e,
14	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
nancy	NOM	nancy
(	PUN	(
7	NUM	@card@
e,	ABR	e,
16	NUM	@card@
pts	NOM	pts
)	PUN	)
strasbourg	NOM	strasbourg
(	PUN	(
16	NUM	@card@
e,	ABR	e,
11	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
limoges	VER:pres	limoger
(	PUN	(
12	NUM	@card@
e,	ABR	e,
13	NUM	@card@
pts	NOM	pts
)	PUN	)
bourg-en-bresse	NOM	bourg-en-bresse
(	PUN	(
15	NUM	@card@
e,	ABR	e,
12	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
roanne	NOM	roanne
(	PUN	(
14	NUM	@card@
e,	ABR	e,
12	NUM	@card@
pts	NOM	pts
)	PUN	)
