l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
chantal	ADJ	chantal
schneider	NOM	schneider
à	PRP	à
nicey	NOM	nicey
,	PUN	,
tél/fax	NOM	tél/fax
03.29	NUM	@card@
.	SENT	.
75.03	NUM	@card@
.	SENT	.
20	NUM	@card@
mairie	NOM	mairie
:	PUN	:
8	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
75.03	NUM	@card@
.	SENT	.
76	NUM	@card@
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
75.00	NUM	@card@
.	SENT	.
86	NUM	@card@
multimédia	ADJ	multimédia
:	PUN	:
www	NOM	www
.	SENT	.
cc	NOM	cc
.	SENT	.
entreaireetmeuse	NOM	entreaireetmeuse
.	SENT	.
fr	NOM	fr
sécurité	NOM	sécurité
sociale	ADJ	social
:	PUN	:
permanence	NOM	permanence
de	PRP	de
13	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h.	ABR	h.
