divers	ADJ	divers
:	PUN	:
pour	PRP	pour
toutes	PRO:IND	tout
les	DET:ART	le
communes	NOM	commune
concernées	VER:pper	concerner
de	PRP	de
la	DET:ART	le
ccb	NOM	ccb
,	PUN	,
cette	PRO:DEM	ce
semaine	NOM	semaine
est	VER:pres	être
de	PRP	de
couleur	NOM	couleur
jaune	ADJ	jaune
.	SENT	.
sortir	VER:infi	sortir
les	DET:ART	le
conteneurs	NOM	conteneur
à	PRP	à
roulettes	NOM	roulette
+	SYM	+
les	DET:ART	le
sacs	NOM	sac
jaunes	ADJ	jaune
.	SENT	.
correspondants	ADJ	correspondant
:	PUN	:
j-p	NOM	j-p
.	SENT	.
folio	NOM	folio
au	PRP:det	au
tél/fax	NOM	tél/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
07.23	NUM	@card@
.	SENT	.
37	NUM	@card@
ou	KON	ou
06.61	NUM	@card@
.	SENT	.
42.39	NUM	@card@
.	SENT	.
25	NUM	@card@
ou	KON	ou
myriam	NOM	myriam
jacquelin	NOM	jacquelin
au	PRP:det	au
03.29	NUM	@card@
.	SENT	.
09.13	NUM	@card@
.	SENT	.
36	NUM	@card@
fax	NOM	fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.15	NUM	@card@
.	SENT	.
65	NUM	@card@
belmont-sur-vair	NOM	belmont-sur-vair
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
dombrot-sur-vair	NOM	dombrot-sur-vair
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
9	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
et	KON	et
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
;	PUN	;
bibliothèque	NOM	bibliothèque
à	PRP	à
17	NUM	@card@
h.	ABR	h.
hagnéville-et-roncourt	NOM	hagnéville-et-roncourt
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
guichet	NOM	guichet
postal	ADJ	postal
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
mandres-sur-vair	NOM	mandres-sur-vair
:	PUN	:
scrabble	NOM	scrabble
,	PUN	,
ancienne	ADJ	ancien
salle	NOM	salle
de	PRP	de
classe	NOM	classe
,	PUN	,
de	PRP	de
20	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
morville	NOM	morville
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
,	PUN	,
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
norroy-sur-vair	NOM	norroy-sur-vair
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
;	PUN	;
réunion	NOM	réunion
du	PRP:det	du
club	NOM	club
«	PUN:cit	«
temps	NOM	temps
libre	ADJ	libre
»,	ADJ	»,
salle	NOM	salle
au	PRP:det	au
dessus	NOM	dessus
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
dès	PRP	dès
14	NUM	@card@
h.	ABR	h.
parey-sous-montfort	NOM	parey-sous-montfort
:	PUN	:
club	NOM	club
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
à	PRP	à
14	NUM	@card@
h	ABR	heure
,	PUN	,
salle	NOM	salle
de	PRP	de
gemmelaincourt	NOM	gemmelaincourt
,	PUN	,
reprise	NOM	reprise
de	PRP	de
l'	DET:ART	le
atelier	NOM	atelier
mémoire	NOM	mémoire
chez	PRP	chez
mme	ADJ	mme
maigrat	NOM	maigrat
à	PRP	à
parey-sous-montfort	NOM	parey-sous-montfort
,	PUN	,
à	PRP	à
10	NUM	@card@
h.	ABR	h.
saint-remimont	VER:futu	saint-remimont
:	PUN	:
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
présence	NOM	présence
du	PRP:det	du
maire	NOM	maire
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h.	ABR	h.
correspondant	NOM	correspondant
:	PUN	:
j-p	NOM	j-p
.	SENT	.
folio	NOM	folio
au	PRP:det	au
tél/fax	NOM	tél/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
07.23	NUM	@card@
.	SENT	.
37	NUM	@card@
vrécourt	NOM	vrécourt
:	PUN	:
réunion	NOM	réunion
du	PRP:det	du
club	NOM	club
des	PRP:det	du
anciens	NOM	ancien
,	PUN	,
salle	NOM	salle
place	NOM	place
des	PRP:det	du
halles	NOM	halle
dès	PRP	dès
14	NUM	@card@
h	ABR	heure
;	PUN	;
bibliothèque	NOM	bibliothèque
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
saint-ouen-les-parey	NOM	saint-ouen-les-parey
:	PUN	:
collecte	NOM	collecte
des	PRP:det	du
ordures	NOM	ordure
ménagères	ADJ	ménager
,	PUN	,
sortir	VER:infi	sortir
les	DET:ART	le
poubelles	NOM	poubelle
en	PRP	en
soirée	NOM	soirée
.	SENT	.
correspondant	VER:ppre	correspondre
:	PUN	:
bernard	NOM	bernard
georges	ADJ	georges
au	PRP:det	au
tél	ABR	téléphone
.	SENT	.
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
09.10	NUM	@card@
.	SENT	.
82	NUM	@card@
crainvilliers	NOM	crainvilliers
:	PUN	:
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
,	PUN	,
de	PRP	de
