chaque	PRO:IND	chaque
mercredi	NOM	mercredi
,	PUN	,
des	PRP:det	du
ateliers	NOM	atelier
de	PRP	de
peinture	NOM	peinture
sont	VER:pres	être
dirigés	VER:pper	diriger
par	PRP	par
brigitte	NOM	brigitte
bourdon	NOM	bourdon
,	PUN	,
de	PRP	de
l'	DET:ART	le
association	NOM	association
«	PUN:cit	«
la	PRO:PER	la
traverse	VER:pres	traverser
»	PUN:cit	»
cette	PRO:DEM	ce
exposition	NOM	exposition
,	PUN	,
qui	PRO:REL	qui
a	VER:pres	avoir
pour	PRP	pour
cadre	NOM	cadre
le	DET:ART	le
hall	NOM	hall
d'	PRP	de
entrée	NOM	entrée
de	PRP	de
la	DET:ART	le
bibliothèque	NOM	bibliothèque
aimé-gaugué	VER:pper	aimé-gaugué
,	PUN	,
a	VER:pres	avoir
été	VER:pper	être
réalisée	VER:pper	réaliser
par	PRP	par
un	DET:ART	un
groupe	NOM	groupe
de	PRP	de
jeunes	NOM	jeune
(	PUN	(
8	NUM	@card@
-	PUN	-
9	NUM	@card@
ans	NOM	an
),	ADJ	),
qui	PRO:REL	qui
ont	VER:pres	avoir
travaillé	VER:pper	travailler
en	PRP	en
décembre	NOM	décembre
et	KON	et
ce	PRO:DEM	ce
mois-ci	VER:pper	mois-ci
.	SENT	.
le	DET:ART	le
thème	NOM	thème
est	VER:pres	être
le	DET:ART	le
calendrier	NOM	calendrier
et	KON	et
les	DET:ART	le
saisons	NOM	saison
.	SENT	.
ce	PRO:DEM	ce
qui	PRO:REL	qui
fait	VER:pres	faire
apparaître	VER:infi	apparaître
des	PRP:det	du
couleurs	NOM	couleur
-	PUN	-
jaune	ADJ	jaune
,	PUN	,
rouge	ADJ	rouge
,	PUN	,
bleu	ADJ	bleu
,	PUN	,
blanc	ADJ	blanc
et	KON	et
noir	ADJ	noir
selon	PRP	selon
les	DET:ART	le
saisons	NOM	saison
et	KON	et
le	DET:ART	le
goût	NOM	goût
de	PRP	de
ces	PRO:DEM	ce
jeunes	ADJ	jeune
enfants	NOM	enfant
.	SENT	.
cette	PRO:DEM	ce
exposition	NOM	exposition
est	VER:pres	être
visible	ADJ	visible
aux	PRP:det	au
heures	NOM	heure
d'	PRP	de
ouverture	NOM	ouverture
de	PRP	de
la	DET:ART	le
bibliothèque	NOM	bibliothèque
jusqu'au	NOM	jusqu'au
30	NUM	@card@
janvier	NOM	janvier
.	SENT	.
