«	PUN:cit	«
que	KON	que
chaque	PRO:IND	chaque
adhérent	NOM	adhérent
en	PRP	en
amène	ADJ	amène
un	DET:ART	un
nouveau	ADJ	nouveau
,	PUN	,
et	KON	et
notre	DET:POS	notre
club	NOM	club
vivra	VER:futu	vivre
longtemps	ADV	longtemps
»,	VER:cond	»,
ce	PRO:DEM	ce
sont	VER:pres	être
les	DET:ART	le
bons	ADJ	bon
conseils	NOM	conseil
que	KON	que
paul	NOM	paul
delarue	VER:pper	delarue
a	VER:pres	avoir
rappelé	VER:pper	rappeler
aux	PRP:det	au
amis	NOM	ami
du	PRP:det	du
club	NOM	club
saint-jean	ADJ	saint-jean
,	PUN	,
avant	PRP	avant
de	PRP	de
passer	VER:infi	passer
à	PRP	à
l'	DET:ART	le
ordre	NOM	ordre
du	PRP:det	du
jour	NOM	jour
de	PRP	de
l'	DET:ART	le
assemblée	NOM	assemblée
générale	ADJ	général
,	PUN	,
qui	PRO:REL	qui
se	PRO:PER	se
déroulait	VER:impf	dérouler
en	PRP	en
présence	NOM	présence
de	PRP	de
maurice	ADJ	maurice
gérard	NOM	gérard
,	PUN	,
président	NOM	président
départemental	ADJ	départemental
des	PRP:det	du
aînés	NOM	aîné
ruraux	ADJ	rural
,	PUN	,
et	KON	et
d'	PRP	de
andré	NOM	andré
duval	ADJ	duval
,	PUN	,
administrateur	NOM	administrateur
du	PRP:det	du
secteur	NOM	secteur
8	NUM	@card@
les	DET:ART	le
aînés	NOM	aîné
du	PRP:det	du
secteur	NOM	secteur
sont	VER:pres	être
bien	ADV	bien
actifs	ADJ	actif
,	PUN	,
à	PRP	à
en	PRO:PER	en
croire	VER:infi	croire
le	DET:ART	le
calendrier	NOM	calendrier
énuméré	VER:pper	énumérer
.	SENT	.
outre	ADV	outre
les	DET:ART	le
rencontres	NOM	rencontre
régulières	ADJ	régulier
,	PUN	,
on	PRO:PER	on
peut	VER:pres	pouvoir
noter	VER:infi	noter
les	DET:ART	le
concours	NOM	concours
,	PUN	,
les	DET:ART	le
sorties	NOM	sortie
en	PRP	en
journée	NOM	journée
,	PUN	,
le	DET:ART	le
voyage	NOM	voyage
d'	PRP	de
une	DET:ART	un
semaine	NOM	semaine
,	PUN	,
la	DET:ART	le
participation	NOM	participation
à	PRP	à
la	DET:ART	le
fête	NOM	fête
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
à	PRP	à
epinal	NOM	epinal
,	PUN	,
la	DET:ART	le
journée	NOM	journée
des	PRP:det	du
aînés	NOM	aîné
à	PRP	à
neufchâteau	NOM	neufchâteau
,	PUN	,
le	DET:ART	le
tout	NOM	tout
dans	PRP	dans
une	DET:ART	un
ambiance	NOM	ambiance
amicale	ADJ	amical
.	SENT	.
au	PRP:det	au
calendrier	NOM	calendrier
de	PRP	de
l'	DET:ART	le
année	NOM	année
,	PUN	,
sont	VER:pres	être
déjà	ADV	déjà
fixées	VER:pper	fixer
,	PUN	,
la	DET:ART	le
sortie	NOM	sortie
à	PRP	à
kirwiller	NOM	kirwiller
le	DET:ART	le
27	NUM	@card@
mars	NOM	mars
,	PUN	,
le	DET:ART	le
fête	NOM	fête
de	PRP	de
printemps	NOM	printemps
début	NOM	début
mai	NOM	mai
qui	PRO:REL	qui
sera	VER:futu	être
probablement	ADV	probablement
étendue	VER:pper	étendre
au	PRP:det	au
secteur	NOM	secteur
8	NUM	@card@
pour	PRP	pour
une	DET:ART	un
plus	ADV	plus
belle	ADJ	beau
manifestation	NOM	manifestation
,	PUN	,
le	DET:ART	le
voyage	NOM	voyage
en	PRP	en
gironde	ADJ	girond
au	PRP:det	au
mois	NOM	moi|mois
de	PRP	de
mai	NOM	mai
,	PUN	,
la	DET:ART	le
fête	NOM	fête
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
à	PRP	à
epinal	NOM	epinal
le	DET:ART	le
18	NUM	@card@
juin	NOM	juin
,	PUN	,
le	DET:ART	le
voyage	NOM	voyage
en	PRP	en
corse	NOM	corse
en	PRP	en
septembre	NOM	septembre
.	SENT	.
il	PRO:PER	il
reste	VER:pres	rester
à	PRP	à
définir	VER:infi	définir
le	DET:ART	le
voyage	NOM	voyage
d'	PRP	de
été	NOM	été
,	PUN	,
pourquoi	ADV	pourquoi
pas	ADV	pas
sur	PRP	sur
deux	NUM	deux
jours	NOM	jour
,	PUN	,
les	DET:ART	le
suggestions	NOM	suggestion
seront	VER:futu	être
les	DET:ART	le
bienvenues	NOM	bienvenu|bienvenue
.	SENT	.
le	DET:ART	le
président	NOM	président
départemental	ADJ	départemental
a	VER:pres	avoir
donné	VER:pper	donner
des	PRP:det	du
explications	NOM	explication
sur	PRP	sur
le	DET:ART	le
projet	NOM	projet
de	PRP	de
développement	NOM	développement
local	ADJ	local
intergénérationel	ADJ	intergénérationel
informatique	NOM	informatique
en	PRP	en
milieu	NOM	milieu
rural	ADJ	rural
,	PUN	,
avec	PRP	avec
mise	NOM	mise
à	PRP	à
disposition	NOM	disposition
de	PRP	de
matériel	NOM	matériel
et	KON	et
formation	NOM	formation
sous	PRP	sous
forme	NOM	forme
de	PRP	de
stages	NOM	stage
au	PRP:det	au
lycée	NOM	lycée
professionnel	ADJ	professionnel
d'	PRP	de
harol	NOM	harol
.	SENT	.
il	PRO:PER	il
