«	PUN:cit	«
la	DET:ART	le
vie	NOM	vie
d'	PRP	de
un	DET:ART	un
blessé	NOM	blessé
dépend	VER:pres	dépendre
de	PRP	de
quelques	PRO:IND	quelque
gestes	NOM	geste
simples	ADJ	simple
».	VER:simp	».
le	DET:ART	le
foyer	NOM	foyer
rural	ADJ	rural
souhaite	VER:pres	souhaiter
mettre	VER:infi	mettre
en	PRP	en
place	NOM	place
cette	PRO:DEM	ce
année	NOM	année
une	DET:ART	un
nouvelle	ADJ	nouveau
session	NOM	session
d'	PRP	de
attestation	NOM	attestation
de	PRP	de
formation	NOM	formation
aux	PRP:det	au
premiers	NUM	premier
secours	NOM	secours
(	PUN	(
afps	NOM	afps
).	VER:ppre	).
une	DET:ART	un
réunion	NOM	réunion
d'	PRP	de
information	NOM	information
aura	VER:futu	avoir
lieu	NOM	lieu
mardi	NOM	mardi
21	NUM	@card@
janvier	NOM	janvier
à	PRP	à
20	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
maison	NOM	maison
pour	PRP	pour
tous	PRO:IND	tout
,	PUN	,
pour	PRP	pour
définir	VER:infi	définir
avec	PRP	avec
les	DET:ART	le
personnes	NOM	personne
intéressées	VER:pper	intéresser
les	DET:ART	le
modalités	NOM	modalité
de	PRP	de
ce	PRO:DEM	ce
stage	NOM	stage
.	SENT	.
renseignements	NOM	renseignement
auprès	ADV	auprès
de	PRP	de
m.c	NOM	m.c
.	SENT	.
strub	NOM	strub
,	PUN	,
la	DET:ART	le
présidente	NOM	président
du	PRP:det	du
foyer	NOM	foyer
rural	ADJ	rural
au	PRP:det	au
03.83	NUM	@card@
.	SENT	.
63.62	NUM	@card@
.	SENT	.
32	NUM	@card@
