ah	INT	ah
,	PUN	,
ce	PRO:DEM	ce
tgv	NOM	tgv
,	PUN	,
que	KON	que
de	PRP	de
temps	NOM	temps
gagné	VER:pper	gagner
quand	KON	quand
il	PRO:PER	il
sera	VER:futu	être
là	ADV	là
!	SENT	!
hier	ADV	hier
matin	NOM	matin
à	PRP	à
micropolis	NOM	micropolis
,	PUN	,
tous	PRO:IND	tout
les	DET:ART	le
élus	NOM	élu
qui	PRO:REL	qui
se	PRO:PER	se
battent	VER:pres	battre
ardemment	ADV	ardemment
pour	PRP	pour
obtenir	VER:infi	obtenir
le	DET:ART	le
tgv	NOM	tgv
rhin-rhône	NOM	rhin-rhône
chantaient	VER:impf	chanter
ses	DET:POS	son
louanges	NOM	louange
d'	PRP	de
une	DET:ART	un
même	ADJ	même
voix	NOM	voix
:	PUN	:
vous	PRO:PER	vous
verrez	VER:futu	voir
:	PUN	:
tout	PRO:IND	tout
va	VER:pres	aller
changer	VER:infi	changer
,	PUN	,
on	PRO:PER	on
pourra	VER:futu	pouvoir
aller	VER:infi	aller
écouter	VER:infi	écouter
un	DET:ART	un
concert	NOM	concert
à	PRP	à
l'	DET:ART	le
auditorium	NOM	auditorium
de	PRP	de
dijon	NOM	dijon
à	PRP	à
une	DET:ART	un
demi-heure	NOM	demi-heure
d'	PRP	de
ici	ADV	ici
,	PUN	,
en	PRP	en
vingt	NUM	vingt
minutes	NOM	minute
on	PRO:PER	on
sera	VER:futu	être
au	PRP:det	au
stade	NOM	stade
bonal	ADJ	bonal
les	DET:ART	le
soirs	NOM	soir
de	PRP	de
grands	ADJ	grand
matchs	NOM	match
!	SENT	!
que	KON	que
c'	PRO:DEM	ce
est	VER:pres	être
beau	ADJ	beau
le	DET:ART	le
tgv	NOM	tgv
,	PUN	,
se	PRO:PER	se
sont	VER:pres	être
dit	VER:pper	dire
deux	NUM	deux
bisontins	NOM	bisontin
qui	PRO:REL	qui
ont	VER:pres	avoir
fait	VER:pper	faire
l'	DET:ART	le
aller-retour	NOM	aller-retour
dans	PRP	dans
la	DET:ART	le
journée	NOM	journée
vendredi	NOM	vendredi
pour	PRP	pour
assister	VER:infi	assister
à	PRP	à
l'	DET:ART	le
open	ADJ	open
de	PRP	de
tennis	NOM	tennis
de	PRP	de
paris	NOM	pari
,	PUN	,
plus	ADV	plus
rapide	ADJ	rapide
qu'	KON	que
un	DET:ART	un
service-canon	NOM	service-canon
de	PRP	de
serena	ADJ	serena
williams	NOM	williams
!	SENT	!
arrivés	VER:pper	arriver
à	PRP	à
21	NUM	@card@
h	ABR	heure
50	NUM	@card@
en	PRP	en
gare	NOM	gare
,	PUN	,
ils	PRO:PER	il
ont	VER:pres	avoir
repris	VER:pper	reprendre
leur	DET:POS	leur
voiture	NOM	voiture
stationnée	VER:pper	stationner
sur	PRP	sur
le	DET:ART	le
parking	NOM	parking
de	PRP	de
surface	NOM	surface
.	SENT	.
seulement	ADV	seulement
voilà	ADV	voilà
,	PUN	,
il	PRO:PER	il
leur	PRO:PER	lui
a	VER:pres	avoir
fallu	VER:pper	falloir
35	NUM	@card@
minutes	NOM	minute
,	PUN	,
montre	VER:pres	montrer
en	PRP	en
main	NOM	main
,	PUN	,
pour	PRP	pour
sortir	VER:infi	sortir
du	PRP:det	du
dit	ADJ	dit
parking	NOM	parking
.	SENT	.
vous	PRO:PER	vous
avez	VER:pres	avoir
bien	ADV	bien
lu	VER:pper	lire
:	PUN	:
35	NUM	@card@
minutes	NOM	minute
pour	PRP	pour
effectuer	VER:infi	effectuer
la	DET:ART	le
boucle	NOM	boucle
de	PRP	de
300	NUM	@card@
mètres	NOM	mètre
qui	PRO:REL	qui
passe	VER:pres	passer
obligatoirement	ADV	obligatoirement
par	PRP	par
une	DET:ART	un
plongée	NOM	plongée
en	PRP	en
sous-terrain	NOM	sous-terrain
avant	PRP	avant
de	PRP	de
se	PRO:PER	se
retrouver	VER:infi	retrouver
devant	PRP	devant
la	DET:ART	le
barrière	NOM	barrière
.	SENT	.
et	KON	et
qu'	KON	que
arriva-t-il	NOM	arriva-t-il
