correspondant	VER:ppre	correspondre
:	PUN	:
myriam	NOM	myriam
jacquelin	ADJ	jacquelin
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.13	NUM	@card@
.	SENT	.
36	NUM	@card@
;	PUN	;
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
09.15	NUM	@card@
.	SENT	.
65	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
magu	VER:pper	magu
à	PRP	à
monthureux	NOM	monthureux
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.01	NUM	@card@
.	SENT	.
34	NUM	@card@
syndicat	NOM	syndicat
d'	PRP	de
initiative	NOM	initiative
et	KON	et
musée	NOM	musée
:	PUN	:
rue	NOM	rue
déléris	ADJ	déléris
,	PUN	,
pour	PRP	pour
renseignements	NOM	renseignement
et	KON	et
visites	NOM	visite
groupées	VER:pper	grouper
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.14	NUM	@card@
.	SENT	.
67	NUM	@card@
;	PUN	;
fax	NOM	fax
03.29	NUM	@card@
.	SENT	.
09.15	NUM	@card@
.	SENT	.
65	NUM	@card@
admr	NOM	admr
:	PUN	:
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.13	NUM	@card@
.	SENT	.
93	NUM	@card@
musée	NOM	musée
de	PRP	de
véhicules	NOM	véhicule
miniatures	NOM	miniature
de	PRP	de
sapeurs-pompiers	NOM	sapeurs-pompiers
:	PUN	:
ouvert	VER:pper	ouvrir
gratuitement	ADV	gratuitement
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
24	NUM	@card@
rue	NOM	rue
des	PRP:det	du
potiers	NOM	potier
.	SENT	.
déchetterie	NOM	déchetterie
:	PUN	:
ouverte	VER:pper	ouvrir
de	PRP	de
13	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.22	NUM	@card@
.	SENT	.
05	NUM	@card@
halte-garderie	NOM	halte-garderie
crèche	NOM	crèche
:	PUN	:
rue	NOM	rue
françois	ADJ	françois
de	PRP	de
neufchâteau	NOM	neufchâteau
,	PUN	,
ouverte	VER:pper	ouvrir
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
09.24	NUM	@card@
.	SENT	.
08	NUM	@card@
dentelle	NOM	dentelle
de	PRP	de
mirecourt	NOM	mirecourt
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
.	SENT	.
piano	ADV	piano
:	PUN	:
dès	PRP	dès
15	NUM	@card@
h	ABR	heure
30	NUM	@card@
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
.	SENT	.
chorale	ADJ	choral
enfants	NOM	enfant
:	PUN	:
de	PRP	de
18	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
.	SENT	.
doigts	NOM	doigt
agiles	ADJ	agile
:	PUN	:
dès	PRP	dès
14	NUM	@card@
h	ABR	heure
,	PUN	,
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
.	SENT	.
accompagnement	NOM	accompagnement
scolaire	ADJ	scolaire
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
maison	NOM	maison
des	PRP:det	du
associations	NOM	association
.	SENT	.
