ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
séances	NOM	séance
de	PRP	de
judo	NOM	judo
au	PRP:det	au
dojo	NOM	dojo
sur	PRP	sur
le	DET:ART	le
centre	NOM	centre
sportif	ADJ	sportif
du	PRP:det	du
village	NOM	village
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
«	PUN:cit	«
éveil-judo	NOM	éveil-judo
»	PUN:cit	»
pour	PRP	pour
les	DET:ART	le
4	NUM	@card@
/	PUN	/
5	NUM	@card@
ans	NOM	an
;	PUN	;
de	PRP	de
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
judo	NOM	judo
pour	PRP	pour
les	DET:ART	le
6	NUM	@card@
ans	NOM	an
et	KON	et
+	SYM	+
;	PUN	;
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
judo	NOM	judo
pour	PRP	pour
les	DET:ART	le
adultes	NOM	adulte
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
03.29	NUM	@card@
.	SENT	.
75.99	NUM	@card@
.	SENT	.
33	NUM	@card@
(	PUN	(
h.	ABR	h.
r	NOM	r
)	PUN	)
