lors	ADV	lors
des	PRP:det	du
v	NOM	v
	ADJ	
ux	ADJ	ux
du	PRP:det	du
maire	NOM	maire
vendredi	NOM	vendredi
,	PUN	,
plusieurs	PRO:IND	plusieurs
personnes	NOM	personne
ont	VER:pres	avoir
été	VER:pper	être
appelées	VER:pper	appeler
sur	PRP	sur
le	DET:ART	le
devant	NOM	devant
de	PRP	de
la	DET:ART	le
scène	NOM	scène
.	SENT	.
-	PUN	-
les	DET:ART	le
nouveaux	ADJ	nouveau
retraités	NOM	retraité
:	PUN	:
josette	NOM	josette
aubert	NOM	aubert
(	PUN	(
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
),	ADJ	),
jean-pierre	NOM	jean-pierre
houllé	VER:pper	houllé
(	PUN	(
agent	NOM	agent
technique	ADJ	technique
),	ADJ	),
paulette	NOM	paulette
véjux	ADJ	véjux
(	PUN	(
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
),	ADJ	),
michel	ADJ	michel
duroy	NOM	duroy
(	PUN	(
maître-nageur	NOM	maître-nageur
),	ADJ	),
mmes	VER:simp	mmes
wassmer	NOM	wassmer
et	KON	et
voisard	NOM	voisard
(	PUN	(
atsem	NOM	atsem
),	ADJ	),
denise	VER:subp	denise
vintranger	NOM	vintranger
(	PUN	(
ccas	NOM	ccas
).	ADJ	).
-	PUN	-
les	DET:ART	le
nouveaux	ADJ	nouveau
embauchés	VER:pper	embaucher
:	PUN	:
alain	NOM	alain
palm	NAM	palm
(	PUN	(
éducateur	NOM	éducateur
sportif	ADJ	sportif
),	ADJ	),
alain	NOM	alain
seigneur	NOM	seigneur
(	PUN	(
agent	NOM	agent
d'	PRP	de
entretien	NOM	entretien
),	ADJ	),
jean-marie	NOM	jean-marie
gianella	NOM	gianella
(	PUN	(
distribution	NOM	distribution
du	PRP:det	du
courrier	NOM	courrier
),	ADJ	),
didier	ADJ	didier
liégeon	NOM	liégeon
(	PUN	(
intervenant	VER:ppre	intervenir
musical	NOM	musical
),	ADJ	),
nadia	ADJ	nadia
boulahia	NOM	boulahia
(	PUN	(
agent	NOM	agent
administratif	ADJ	administratif
),	ADJ	),
valérie	NOM	valérie
simerey	ADJ	simerey
(	PUN	(
emploi-jeune	NOM	emploi-jeune
ccas	NOM	ccas
),	ADJ	),
stéphane	ADJ	stéphane
fanjas	NOM	fanjas
(	PUN	(
responsable	ADJ	responsable
ccas	NOM	ccas
),	ADJ	),
michel	NOM	michel
carlot	ADJ	carlot
(	PUN	(
policier	NOM	policier
municipal	ADJ	municipal
).	ADJ	).
-	PUN	-
les	DET:ART	le
titularisations	NOM	titularisation
:	PUN	:
aurélien	ADJ	aurélien
véron	NOM	véron
(	PUN	(
services	NOM	service
techniques	ADJ	technique
),	ADJ	),
abdellaziz	NOM	abdellaziz
haddouche	NOM	haddouche
(	PUN	(
services	NOM	service
techniques	ADJ	technique
),	ADJ	),
sylvie	NOM	sylvie
sierra	NOM	sierra
(	PUN	(
directrice	ADJ	directeur
de	PRP	de
l'	DET:ART	le
arche	NOM	arche
).	ABR	).
-	PUN	-
les	PRO:PER	la|le
médaillés	VER:pper	médailler
du	PRP:det	du
travail	NOM	travail
:	PUN	:
jean-claude	NOM	jean-claude
valentin	NOM	valentin
,	PUN	,
pierrette	NOM	pierrette
giemza	NOM	giemza
,	PUN	,
jean-pierre	NOM	jean-pierre
houllé	VER:pper	houllé
(	PUN	(
vermeil	ADJ	vermeil
),	NOM	),
robert	NOM	robert
haag	NOM	haag
(	PUN	(
argent	NOM	argent
).	ADJ	).
-	PUN	-
les	DET:ART	le
contractuelles	NOM	contractuel
:	PUN	:
christelle	ADJ	christelle
et	KON	et
céline	ADJ	céline
hunckler	NOM	hunckler
(	PUN	(
services	NOM	service
comptabilité	NOM	comptabilité
et	KON	et
administratif	ADJ	administratif
),	NOM	),
ilham	NOM	ilham
nfaoui	NOM	nfaoui
(	PUN	(
services	NOM	service
techniques	ADJ	technique
).	ADJ	).
