l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
gildo	NOM	gildo
magi	ADJ	magi
,	PUN	,
187	NUM	@card@
rue	NOM	rue
de	PRP	de
la	DET:ART	le
libération	NOM	libération
à	PRP	à
bouligny	NAM	bouligny
,	PUN	,
tél	ABR	téléphone
:	PUN	:
03.29	NUM	@card@
.	SENT	.
87.97	NUM	@card@
.	SENT	.
59	NUM	@card@
médecin	NOM	médecin
de	PRP	de
garde	NOM	garde
:	PUN	:
régime	NOM	régime
général	ADJ	général
,	PUN	,
en	PRP	en
cas	NOM	cas
d'	PRP	de
urgence	NOM	urgence
téléphoner	VER:infi	téléphoner
au	PRP:det	au
centre	NOM	centre
15	NUM	@card@
;	PUN	;
régime	NOM	régime
minier	ADJ	minier
,	PUN	,
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.81	NUM	@card@
.	SENT	.
06	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
après	PRP	après
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
téléphoner	VER:infi	téléphoner
au	PRP:det	au
03.82	NUM	@card@
.	SENT	.
21.07	NUM	@card@
.	SENT	.
07	NUM	@card@
permanence	NOM	permanence
en	PRP	en
mairie	NOM	mairie
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
,	PUN	,
myriam	NOM	myriam
kintzinger	NOM	kintzinger
(	PUN	(
culture	NOM	culture
,	PUN	,
communication	NOM	communication
).	VER:ppre	).
bibliothèque	NOM	bibliothèque
:	PUN	:
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h.	ABR	h.
club	NOM	club
abc	ADJ	abc
:	PUN	:
à	PRP	à
14	NUM	@card@
h	ABR	heure
au	PRP:det	au
foyer	NOM	foyer
maurice-thorez	ADJ	maurice-thorez
.	SENT	.
maintien	NOM	maintien
en	PRP	en
forme	NOM	forme
:	PUN	:
de	PRP	de
16	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
17	NUM	@card@
h	ABR	heure
15	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
gym	NOM	gym
volontaire	ADJ	volontaire
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
asbb	NOM	asbb
football	NOM	football
:	PUN	:
à	PRP	à
19	NUM	@card@
h	ABR	heure
à	PRP	à
etain	NOM	etain
,	PUN	,
entraînement	NOM	entraînement
des	PRP:det	du
18	NUM	@card@
ans	NOM	an
.	SENT	.
asjpb	NOM	asjpb
basket-ball	NOM	basket-ball
:	PUN	:
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
la	DET:ART	le
salle	NOM	salle
de	PRP	de
joudreville	NOM	joudreville
,	PUN	,
entraînement	NOM	entraînement
des	PRP:det	du
cadets	NOM	cadet
et	KON	et
minimes	ADJ	minime
garçons	NOM	garçon
.	SENT	.
ping-pong	NOM	ping-pong
:	PUN	:
à	PRP	à
20	NUM	@card@
h	ABR	heure
,	PUN	,
entraînement	NOM	entraînement
au	PRP:det	au
gymnase	NOM	gymnase
.	SENT	.
piscine	NOM	piscine
:	PUN	:
de	PRP	de
17	NUM	@card@
h	ABR	heure
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
séance	NOM	séance
style	NOM	style
quatre	NUM	quatre
nages	NOM	nage
des	PRP:det	du
ados	NOM	ado|ados
;	PUN	;
de	PRP	de
20	NUM	@card@
h	ABR	heure
à	PRP	à
21	NUM	@card@
h	ABR	heure
30	NUM	@card@
nocturne	NOM	nocturne
au	PRP:det	au
public	NOM	public
adulte	ADJ	adulte
.	SENT	.
comité	NOM	comité
de	PRP	de
jumelage	NOM	jumelage
de	PRP	de
l'	DET:ART	le
epci	NOM	epci
:	PUN	:
réunion	NOM	réunion
des	PRP:det	du
membres	NOM	membre
du	PRP:det	du
comité	NOM	comité
à	PRP	à
20	NUM	@card@
h	ABR	heure
à	PRP	à
la	DET:ART	le
salle	NOM	salle
gérard-philipe	NOM	gérard-philipe
à	PRP	à
piennes	NOM	piennes
.	SENT	.
