hier	ADV	hier
,	PUN	,
à	PRP	à
15	NUM	@card@
heures	NOM	heure
40	NUM	@card@
une	DET:ART	un
collision	NOM	collision
s'	PRO:PER	se
est	VER:pres	être
produite	VER:pper	produire
à	PRP	à
l'	DET:ART	le
intersection	NOM	intersection
des	PRP:det	du
rues	NOM	rue
d'	PRP	de
alsace	NOM	alsace
et	KON	et
de	PRP	de
la	DET:ART	le
loge	NOM	loge
blanche	ADJ	blanc
.	SENT	.
une	DET:ART	un
camionnette	NOM	camionnette
de	PRP	de
la	DET:ART	le
ville	NOM	ville
d'	PRP	de
epinal	NOM	epinal
conduite	VER:pper	conduire
par	PRP	par
rabah	NOM	rabah
zimouche	NOM	zimouche
de	PRP	de
pallegney	NOM	pallegney
qui	PRO:REL	qui
venait	VER:impf	venir
de	PRP	de
la	DET:ART	le
rue	NOM	rue
d'	PRP	de
alsace	NOM	alsace
et	KON	et
se	PRO:PER	se
dirigeait	VER:impf	diriger
vers	PRP	vers
l'	DET:ART	le
avenue	NOM	avenue
de	PRP	de
la	DET:ART	le
loge	NOM	loge
blanche	ADJ	blanc
a	VER:pres	avoir
percuté	VER:pper	percuter
une	DET:ART	un
voiture	NOM	voiture
qui	PRO:REL	qui
venait	VER:impf	venir
de	PRP	de
la	DET:ART	le
route	NOM	route
de	PRP	de
remiremont	VER:futu	remiremont
,	PUN	,
conduite	VER:pper	conduire
par	PRP	par
andré	ADJ	andré
pierre	NOM	pierre
de	PRP	de
hadol	NOM	hadol
.	SENT	.
ce	PRO:DEM	ce
dernier	NOM	dernier
se	PRO:PER	se
plaignant	VER:ppre	plaindre
de	PRP	de
douleurs	NOM	douleur
à	PRP	à
la	DET:ART	le
cage	NOM	cage
thoracique	ADJ	thoracique
a	VER:pres	avoir
été	VER:pper	être
dirigé	VER:pper	diriger
vers	PRP	vers
le	DET:ART	le
centre	NOM	centre
hospitalier	ADJ	hospitalier
jean	NOM	jean
monnet	NOM	monnet
pour	PRP	pour
y	PRO:PER	y
subir	VER:infi	subir
des	PRP:det	du
examens	NOM	examen
.	SENT	.
la	DET:ART	le
police	NOM	police
a	VER:pres	avoir
procédé	VER:pper	procéder
aux	PRP:det	au
constatations	NOM	constatation
d'	PRP	de
usage	NOM	usage
.	SENT	.
