«	PUN:cit	«
a	VER:pres	avoir
el	NOM	el
borma	VER:simp	borma
ce	PRO:DEM	ce
soir	NOM	soir
,	PUN	,
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
est	VER:pres	être
calme	ADJ	calme
.	SENT	.
l'	DET:ART	le
étape	NOM	étape
d'	PRP	de
aujourd'hui	ADV	aujourd'hui
a	VER:pres	avoir
été	VER:pper	être
variée	VER:pper	varier
avec	PRP	avec
dunettes	NOM	dunette
,	PUN	,
sable	NOM	sable
,	PUN	,
beaucoup	ADV	beaucoup
de	PRP	de
pistes	NOM	piste
en	PRP	en
pierre	NOM	pierre
,	PUN	,
il	PRO:PER	il
s'	PRO:PER	se
agissait	VER:impf	agir
d'	PRP	de
assurer	VER:infi	assurer
l'	DET:ART	le
arrivée	NOM	arrivé|arrivée
sans	PRP	sans
casse	NOM	casse
.	SENT	.
la	DET:ART	le
vraie	ADJ	vrai
épreuve	NOM	épreuve
commence	VER:pres	commencer
demain	ADV	demain
avec	PRP	avec
les	DET:ART	le
trente-deux	NUM	trente-deux
cordons	NOM	cordon
de	PRP	de
dunes	NOM	dune
qui	PRO:REL	qui
mènent	VER:pres	mener
à	PRP	à
la	DET:ART	le
lybie	NOM	lybie
.	SENT	.
nous	PRO:PER	nous
avons	VER:pres	avoir
fait	VER:pper	faire
un	DET:ART	un
brin	NOM	brin
de	PRP	de
course	NOM	course
avec	PRP	avec
un	DET:ART	un
chameau	NOM	chameau
sauvage	ADJ	sauvage
.	SENT	.
et	KON	et
bien	ADV	bien
,	PUN	,
il	PRO:PER	il
court	VER:pres	courir
à	PRP	à
25	NUM	@card@
km/h	ABR	kilomètres-heure
et	KON	et
comme	KON	comme
les	DET:ART	le
poules	NOM	poule
de	PRP	de
nos	DET:POS	notre
campagnes	NOM	campagne
,	PUN	,
il	PRO:PER	il
coupe	VER:pres	couper
la	DET:ART	le
route	NOM	route
au	PRP:det	au
dernier	ADJ	dernier
moment	NOM	moment
!	SENT	!
la	DET:ART	le
voiture	NOM	voiture
est	VER:pres	être
en	PRP	en
état	NOM	état
,	PUN	,
l'	DET:ART	le
équipage	NOM	équipage
appréhende	VER:pres	appréhender
la	DET:ART	le
suite	NOM	suite
».	ADJ	».
