aujourd'hui	ADV	aujourd'hui
:	PUN	:
salade	NOM	salade
de	PRP	de
pommes	NOM	pomme
de	PRP	de
terre	NOM	terre
,	PUN	,
cordon	NOM	cordon
bleu	ADJ	bleu
de	PRP	de
volaille	NOM	volaille
,	PUN	,
jardinière	ADJ	jardinier
de	PRP	de
légumes	NOM	légume
,	PUN	,
crème	NOM	crème
de	PRP	de
gruyère	NOM	gruyère
,	PUN	,
kiwi	NOM	kiwi
.	SENT	.
mardi	NOM	mardi
:	PUN	:
céleri	NOM	céleri
rémoulade	NOM	rémoulade
,	PUN	,
suprême	ADJ	suprême
de	PRP	de
volaille	NOM	volaille
sauce	VER:pres	saucer
soubise	NOM	soubise
,	PUN	,
frites	VER:pper	frire
au	PRP:det	au
four	NOM	four
,	PUN	,
fromage	NOM	fromage
,	PUN	,
roulé	ADJ	roulé
chocolat-noisette	NOM	chocolat-noisette
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
pâté	NOM	pâté
de	PRP	de
campagne	NOM	campagne
,	PUN	,
b	VER:simp	b
	NOM	
uf	ADJ	uf
braisé	VER:pper	braiser
sauce	NOM	sauce
tomate	NOM	tomate
,	PUN	,
torsades	NOM	torsade
,	PUN	,
fromage	NOM	fromage
,	PUN	,
mousse	NOM	mousse
au	PRP:det	au
chocolat	NOM	chocolat
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
salade	NOM	salade
d'	PRP	de
endives	NOM	endive
aux	PRP:det	au
noix	NOM	noix
,	PUN	,
poisson	NOM	poisson
meunière	ADJ	meunier
,	PUN	,
pommes	NOM	pomme
persillées-épinards	ADJ	persillées-épinards
à	PRP	à
la	DET:ART	le
crème	NOM	crème
,	PUN	,
fromage	NOM	fromage
,	PUN	,
banane	NOM	banane
.	SENT	.
