hier	ADV	hier
soir	NOM	soir
:	PUN	:
metz	NAM	Metz
-	PUN	-
le	DET:ART	le
mans	NOM	man
:	PUN	:
4	NUM	@card@
-	PUN	-
0	NUM	@card@
ce	PRO:DEM	ce
soir	NOM	soir
(	PUN	(
20	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
lorient	NOM	lorient
(	PUN	(
3	NUM	@card@
e,	ABR	e,
39	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
saint-etienne	ADJ	saint-etienne
(	PUN	(
17	NUM	@card@
e,	ABR	e,
22	NUM	@card@
pts	NOM	pts
)	PUN	)
grenoble	ADJ	grenoble
(	PUN	(
4	NUM	@card@
e,	ABR	e,
36	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
valence	NOM	valence
(	PUN	(
9	NUM	@card@
e,	ABR	e,
29	NUM	@card@
pts	NOM	pts
)	PUN	)
laval	ADJ	laval
(	PUN	(
12	NUM	@card@
e,	ABR	e,
27	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
nancy	NOM	nancy
(	PUN	(
20	NUM	@card@
e,	ABR	e,
21	NUM	@card@
pts	NOM	pts
)	PUN	)
reims	NOM	reims
(	PUN	(
16	NUM	@card@
e,	ABR	e,
23	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
wasquehal	NOM	wasquehal
(	PUN	(
13	NUM	@card@
e,	ABR	e,
25	NUM	@card@
pts	NOM	pts
)	PUN	)
istres	ADJ	istres
(	PUN	(
19	NUM	@card@
e,	ABR	e,
22	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
beauvais	NOM	beauvais
(	PUN	(
14	NUM	@card@
e,	ABR	e,
24	NUM	@card@
pts	NOM	pts
)	PUN	)
demain	ADV	demain
(	PUN	(
17	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
toulouse	NOM	toulouse
(	PUN	(
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
44	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
niort	ADJ	niort
(	PUN	(
7	NUM	@card@
e,	ABR	e,
35	NUM	@card@
pts	NOM	pts
)	PUN	)
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
:	PUN	:
clermont	NOM	clermont
(	PUN	(
8	NUM	@card@
e,	ABR	e,
30	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
caen	NOM	caen
(	PUN	(
18	NUM	@card@
e,	ABR	e,
22	NUM	@card@
pts	NOM	pts
)	PUN	)
matches	NOM	match
reportés	VER:pper	reporter
:	PUN	:
amiens	NOM	amiens
(	PUN	(
11	NUM	@card@
e,	ABR	e,
28	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
créteil	NOM	créteil
(	PUN	(
10	NUM	@card@
e,	ABR	e,
28	NUM	@card@
pts	NOM	pts
)	PUN	)
;	PUN	;
gueugnon	NOM	gueugnon
(	PUN	(
15	NUM	@card@
e,	ABR	e,
24	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
châteauroux	NOM	châteauroux
(	PUN	(
6	NUM	@card@
e,	ABR	e,
36	NUM	@card@
pts	NOM	pts
)	PUN	)
