ce	PRO:DEM	ce
week-end	NOM	week-end
,	PUN	,
près	ADV	près
de	PRP	de
70	NUM	@card@
artistes	ADJ	artiste
seichanais	NOM	seichanais
présenteront	VER:futu	présenter
340	NUM	@card@
	NOM	
uvres	NOM	uvres
au	PRP:det	au
centre	NOM	centre
socioculturel	ADJ	socioculturel
.	SENT	.
il	PRO:PER	il
s'	PRO:PER	se
agit	VER:pres	agir
de	PRP	de
:	PUN	:
jocelyne	ADJ	jocelyne
antonczak	NOM	antonczak
,	PUN	,
claude	NOM	claude
et	KON	et
eliane	NOM	eliane
blais	VER:impf	blais
,	PUN	,
gisèle	NOM	gisèle
bourguignon	ADJ	bourguignon
,	PUN	,
jacques	NOM	jacque|jacques
delorme	ADJ	delorme
,	PUN	,
magguy	NOM	magguy
end	ADJ	end
,	PUN	,
lucette	NOM	lucette
germain	ADJ	germain
,	PUN	,
noël	NOM	noël
magron	NOM	magron
,	PUN	,
nicole	ADJ	nicole
martin	NOM	martin
,	PUN	,
arlette	NOM	arlette
thiery	NOM	thiery
,	PUN	,
nathalie	NOM	nathalie
wingerter	NOM	wingerter
,	PUN	,
hélène	NOM	hélène
bartement	NOM	bartement
,	PUN	,
françoise	ADJ	françoise
bourgon	NOM	bourgon
,	PUN	,
andré	ADJ	andré
dionnet	NOM	dionnet
,	PUN	,
christiane	NOM	christiane
egea	NOM	egea
,	PUN	,
andrée	NOM	andrée
etienne	ADJ	etienne
,	PUN	,
claude	NOM	claude
foy	NOM	foy
,	PUN	,
jacques	NOM	jacque|jacques
gauzelin	ADJ	gauzelin
,	PUN	,
monique	ADJ	monique
magron	NOM	magron
,	PUN	,
colette	NOM	colette
marchal	NOM	marchal
,	PUN	,
angèle	NOM	angèle
melissano	ADJ	melissano
,	PUN	,
jean	NOM	jean
mercier	NOM	mercier
,	PUN	,
janine	NOM	janine
pierfitte	NOM	pierfitte
,	PUN	,
madeleine	NOM	madeleine
seguy	NOM	seguy
,	PUN	,
pascale	ADJ	pascal
treiber	NOM	treiber
,	PUN	,
atelier	NOM	atelier
poterie	NOM	poterie
,	PUN	,
stéphanie	NOM	stéphanie
bouchy	ADJ	bouchy
,	PUN	,
dominique	ADJ	dominique
chipot	NOM	chipot
,	PUN	,
joseph	ADJ	joseph
cicotelli	NOM	cicotelli
,	PUN	,
pierre	NOM	pierre
conus	NOM	conus
,	PUN	,
andrée	NOM	andrée
etienne	ADJ	etienne
,	PUN	,
joëlle	VER:simp	joëlle
geoffroy	NOM	geoffroy
,	PUN	,
david	NOM	david
germonville	NOM	germonville
,	PUN	,
janine	NOM	janine
lapointe	ADJ	lapointe
,	PUN	,
nicole	ADJ	nicole
léonard	NOM	léonard
,	PUN	,
livy	NOM	livy
,	PUN	,
gérard	ADJ	gérard
louis	NOM	louis
,	PUN	,
christian	NOM	christian
marchal	NOM	marchal
,	PUN	,
claire	ADJ	clair
martin	NOM	martin
et	KON	et
denyse	NOM	denyse
zerwetz	NAM	zerwetz
,	PUN	,
pierre	NOM	pierre
millet	NOM	millet
,	PUN	,
mïrya	VER:simp	mïrya
,	PUN	,
cyril	NOM	cyril
palin	ADJ	palin
,	PUN	,
maurice	ADJ	maurice
pierfitte	NOM	pierfitte
,	PUN	,
olivier	NOM	olivier
platero	NOM	platero
,	PUN	,
chantal	ADJ	chantal
reinberger	NOM	reinberger
,	PUN	,
claire	ADJ	clair
sofoloski	NOM	sofoloski
,	PUN	,
christiane	NOM	christiane
valentin	NOM	valentin
,	PUN	,
pascal	ADJ	pascal
vincent	NOM	vincent
,	PUN	,
pierrette	NOM	pierrette
wargnier	NOM	wargnier
,	PUN	,
nicole	NOM	nicole
wurges	ADJ	wurges
.	SENT	.
l'	DET:ART	le
exposition	NOM	exposition
se	PRO:PER	se
déroulera	VER:futu	dérouler
samedi	NOM	samedi
18	NUM	@card@
janvier	NOM	janvier
,	PUN	,
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h	ABR	heure
,	PUN	,
et	KON	et
dimanche	NOM	dimanche
19	NUM	@card@
janvier	NOM	janvier
,	PUN	,
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
19	NUM	@card@
h.	ABR	h.
l'	DET:ART	le
entrée	NOM	entrée
est	VER:pres	être
libre	ADJ	libre
.	SENT	.
