aujourd'hui	ADV	aujourd'hui
,	PUN	,
mardi	NOM	mardi
14	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
,	PUN	,
se	PRO:PER	se
dérouleront	VER:futu	dérouler
,	PUN	,
en	PRP	en
l'	DET:ART	le
église	NOM	église
saint-pierre	NOM	saint-pierre
de	PRP	de
faulx	NOM	faulx
,	PUN	,
les	DET:ART	le
obsèques	NOM	obsèques
de	PRP	de
rené	VER:pper	renaître
florentin	ADJ	florentin
,	PUN	,
décédé	VER:pper	décéder
le	DET:ART	le
dimanche	NOM	dimanche
12	NUM	@card@
janvier	NOM	janvier
à	PRP	à
l'	DET:ART	le
âge	NOM	âge
de	PRP	de
80	NUM	@card@
ans	NOM	an
.	SENT	.
rené	VER:pper	renaître
florentin	ADJ	florentin
,	PUN	,
ancien	ADJ	ancien
agriculteur	NOM	agriculteur
à	PRP	à
la	DET:ART	le
haute-faulx	NOM	haute-faulx
,	PUN	,
avait	VER:impf	avoir
,	PUN	,
avec	PRP	avec
son	DET:POS	son
épouse	NOM	épouse
,	PUN	,
élevé	VER:pper	élever
deux	NUM	deux
filles	NOM	fille
:	PUN	:
isabelle	ADJ	isabelle
et	KON	et
marie-hélène	NOM	marie-hélène
.	SENT	.
une	DET:ART	un
petite	ADJ	petit
fille	NOM	fille
était	VER:impf	être
venue	VER:pper	venir
agrandir	VER:infi	agrandir
le	DET:ART	le
cercle	NOM	cercle
familial	ADJ	familial
.	SENT	.
nos	DET:POS	notre
condoléances	NOM	condoléance
.	SENT	.
