trente-cinq	NUM	trente-cinq
personnes	NOM	personne
ont	VER:pres	avoir
participé	VER:pper	participer
à	PRP	à
la	DET:ART	le
soirée	NOM	soirée
choucroute	NOM	choucroute
,	PUN	,
organisée	VER:pper	organiser
par	PRP	par
les	DET:ART	le
bénévoles	NOM	bénévole
du	PRP:det	du
foyer	NOM	foyer
rural	ADJ	rural
.	SENT	.
la	DET:ART	le
choucroute	NOM	choucroute
était	VER:impf	être
excellente	ADJ	excellent
et	KON	et
l'	DET:ART	le
ambiance	NOM	ambiance
encore	ADV	encore
plus	ADV	plus
.	SENT	.
les	DET:ART	le
danseurs	NOM	danseur
et	KON	et
les	DET:ART	le
danseuses	NOM	danseur
n'	ADV	ne
ont	VER:pres	avoir
pratiquement	ADV	pratiquement
pas	ADV	pas
quitté	VER:pper	quitter
la	DET:ART	le
piste	NOM	piste
à	PRP	à
part	NOM	part
pour	PRP	pour
apprécier	VER:infi	apprécier
les	DET:ART	le
plats	NOM	plat
.	SENT	.
on	PRO:PER	on
entendait	VER:impf	entendre
beaucoup	ADV	beaucoup
de	PRP	de
rires	NOM	rire
et	KON	et
de	PRP	de
nombreuses	ADJ	nombreux
chansons	NOM	chanson
furent	VER:simp	être
reprises	VER:pper	reprendre
en	PRP	en
ch	ADJ	ch
	NOM	
ur	ADJ	ur
.	SENT	.
