hier	ADV	hier
,	PUN	,
à	PRP	à
10	NUM	@card@
h	ABR	heure
45	NUM	@card@
a	VER:pres	avoir
été	VER:pper	être
célébré	VER:pper	célébrer
le	DET:ART	le
mariage	NOM	mariage
de	PRP	de
arnaud	NAM	Arnaud
bridey	NAM	bridey
,	PUN	,
restaurateur	ADJ	restaurateur
,	PUN	,
et	KON	et
de	PRP	de
sophie	NOM	sophie
diniel	ADJ	diniel
,	PUN	,
auxiliaire	ADJ	auxiliaire
puéricultrice	NOM	puériculteur
,	PUN	,
domiciliés	VER:pper	domicilier
tous	PRO:IND	tout
deux	NUM	deux
1	NUM	@card@
rue	NOM	rue
paul	ADJ	paul
briquel	ADJ	briquel
à	PRP	à
lunéville	NAM	Lunéville
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
.	SENT	.
