hier	ADV	hier
soir	NOM	soir
:	PUN	:
hyères-toulon	NOM	hyères-toulon
-	PUN	-
paris	NOM	pari
br	ADJ	br
:	PUN	:
94	NUM	@card@
-	PUN	-
82	NUM	@card@
aujourd'hui	NOM	aujourd'hui
(	PUN	(
16	NUM	@card@
h	ABR	heure
30	NUM	@card@
)	PUN	)
:	PUN	:
pau-orthez	VER:pres	pau-orthez
(	PUN	(
1	NUM	@card@
e	NOM	e
r	ADJ	r
,	PUN	,
27	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
cholet	NOM	cholet
(	PUN	(
4	NUM	@card@
e,	ABR	e,
24	NUM	@card@
pts	NOM	pts
)	PUN	)
ce	PRO:DEM	ce
soir	NOM	soir
(	PUN	(
20	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
vichy	NOM	vichy
(	PUN	(
10	NUM	@card@
e,	ABR	e,
20	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
le	DET:ART	le
mans	NOM	man
(	PUN	(
3	NUM	@card@
e,	ABR	e,
24	NUM	@card@
pts	NOM	pts
)	PUN	)
dijon	NOM	dijon
(	PUN	(
9	NUM	@card@
e,	ABR	e,
20	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
gravelines	NOM	gravelines
(	PUN	(
5	NUM	@card@
e,	ABR	e,
23	NUM	@card@
pts	NOM	pts
)	PUN	)
roanne	NOM	roanne
(	PUN	(
15	NUM	@card@
e,	ABR	e,
18	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
sluc	NOM	sluc
nancy	NOM	nancy
(	PUN	(
7	NUM	@card@
e,	ABR	e,
22	NUM	@card@
pts	NOM	pts
)	PUN	)
strasbourg	NOM	strasbourg
(	PUN	(
12	NUM	@card@
e,	ABR	e,
18	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
chalon/saône	NOM	chalon/saône
(	PUN	(
13	NUM	@card@
e,	ABR	e,
18	NUM	@card@
pts	NOM	pts
)	PUN	)
bourg-en-bresse	NOM	bourg-en-bresse
(	PUN	(
16	NUM	@card@
e,	ABR	e,
17	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
limoges	VER:pres	limoger
(	PUN	(
14	NUM	@card@
e,	ABR	e,
18	NUM	@card@
pts	NOM	pts
)	PUN	)
demain	ADV	demain
(	PUN	(
17	NUM	@card@
h	ABR	heure
)	PUN	)
:	PUN	:
le	DET:ART	le
havre	NOM	havre
(	PUN	(
6	NUM	@card@
e,	ABR	e,
22	NUM	@card@
pts	NOM	pts
)	PUN	)
-	PUN	-
villeurbanne	NOM	villeurbanne
(	PUN	(
2	NUM	@card@
e,	ABR	e,
25	NUM	@card@
pts	NOM	pts
)	PUN	)
les	DET:ART	le
8	NUM	@card@
premiers	NOM	premier
de	PRP	de
la	DET:ART	le
phase	NOM	phase
aller	VER:infi	aller
sont	VER:pres	être
qualifiés	VER:pper	qualifier
pour	PRP	pour
la	DET:ART	le
semaine	NOM	semaine
des	PRP:det	du
as	NOM	as
(	PUN	(
20	NUM	@card@
-	PUN	-
23	NUM	@card@
février	NOM	février
à	PRP	à
pau	NOM	pau
).	ADJ	).
