hier	ADV	hier
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
brigitte	VER:pres	brigitte
henry	NOM	henry
,	PUN	,
adjointe	VER:pper	adjoindre
au	PRP:det	au
maire	NOM	maire
,	PUN	,
a	VER:pres	avoir
uni	VER:pper	unir
les	DET:ART	le
destinées	NOM	destinée
de	PRP	de
bruno	NOM	bruno
miquel	NOM	miquel
,	PUN	,
vendeur	ADJ	vendeur
et	KON	et
de	PRP	de
virginie	NOM	virginie
violet	ADJ	violet
,	PUN	,
coiffeuse	NOM	coiffeur|coiffeuse
,	PUN	,
domiciliés	VER:pper	domicilier
36	NUM	@card@
rue	NOM	rue
armand-solvay	NOM	armand-solvay
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
tous	PRO:IND	tout
nos	DET:POS	notre
v	NOM	v
	ADJ	
ux	ADJ	ux
de	PRP	de
bonheur	NOM	bonheur
aux	PRP:det	au
nouveaux	ADJ	nouveau
époux	NOM	époux
.	SENT	.
