cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
les	DET:ART	le
épreuves	NOM	épreuve
du	PRP:det	du
concours	NOM	concours
artistique	ADJ	artistique
sont	VER:pres	être
réparties	VER:pper	répartir
sur	PRP	sur
deux	NUM	deux
périodes	NOM	période
.	SENT	.
la	DET:ART	le
première	NUM	premier
,	PUN	,
du	PRP:det	du
1	NUM	@card@
e	NOM	e
r	VER:subi	r
au	PRP:det	au
6	NUM	@card@
février	NOM	février
:	PUN	:
épreuves	NOM	épreuve
de	PRP	de
clarinette	NOM	clarinette
,	PUN	,
saxophone	NOM	saxophone
,	PUN	,
flûte	NOM	flûte
traversière	ADJ	traversier
et	KON	et
trompette	NOM	trompette
.	SENT	.
inscriptions	NOM	inscription
jusqu'au	NOM	jusqu'au
18	NUM	@card@
janvier	NOM	janvier
.	SENT	.
a	VER:pres	avoir
compter	VER:infi	compter
du	PRP:det	du
2	NUM	@card@
avril	NOM	avril
et	KON	et
jusqu'au	NOM	jusqu'au
12	NUM	@card@
avril	NOM	avril
,	PUN	,
auront	VER:futu	avoir
lieu	NOM	lieu
les	DET:ART	le
épreuves	NOM	épreuve
de	PRP	de
violon	NOM	violon
,	PUN	,
violoncelle	NOM	violoncelle
,	PUN	,
alto	NOM	alto
,	PUN	,
piano	ADV	piano
,	PUN	,
guitare	NOM	guitare
,	PUN	,
chant	NOM	chant
,	PUN	,
batterie	NOM	batterie
,	PUN	,
harpe	NOM	harpe
,	PUN	,
flûte	NOM	flûte
à	PRP	à
bec	NOM	bec
,	PUN	,
clavecin	NOM	clavecin
...	PUN	...
l'	DET:ART	le
épreuve	NOM	épreuve
d'	PRP	de
orgue	NOM	orgue
est	VER:pres	être
prévue	VER:pper	prévoir
,	PUN	,
quant	PRP	quant
à	PRP	à
elle	PRO:PER	elle
,	PUN	,
le	DET:ART	le
3	NUM	@card@
mai	NOM	mai
.	SENT	.
renseignements	NOM	renseignement
:	PUN	:
concours	NOM	concours
artistique	ADJ	artistique
,	PUN	,
centre	NOM	centre
culturel	ADJ	culturel
,	PUN	,
4	NUM	@card@
rue	NOM	rue
claude	NOM	claude
gellée	VER:pper	gellée
88000	NUM	@card@
epinal	NOM	epinal
,	PUN	,
anne	VER:simp	anne
thouvenot	NOM	thouvenot
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
35.25	NUM	@card@
.	SENT	.
05.	PRO	@ord@
,	PUN	,
sylvie	NOM	sylvie
michel	ADJ	michel
,	PUN	,
tél	ABR	téléphone
.	SENT	.
06.83	NUM	@card@
.	SENT	.
31.56	NUM	@card@
.	SENT	.
21	NUM	@card@
