aujourd'hui	ADV	aujourd'hui
:	PUN	:
salade	NOM	salade
californienne	ADJ	californien
;	PUN	;
omelette/épinards	NOM	omelette/épinards
béchamel	NOM	béchamel
;	PUN	;
brie	NOM	brie
;	PUN	;
fruit	NOM	fruit
.	SENT	.
mardi	NOM	mardi
:	PUN	:
salade	NOM	salade
exotique	ADJ	exotique
;	PUN	;
raviolis	NOM	raviolis
de	PRP	de
dinde	NOM	dinde
;	PUN	;
crème	NOM	crème
anglaise	ADJ	anglais
;	PUN	;
marbré	VER:pper	marbrer
au	PRP:det	au
chocolat	NOM	chocolat
.	SENT	.
mercredi	NOM	mercredi
:	PUN	:
riz	NOM	riz
aux	PRP:det	au
olives	NOM	olive
;	PUN	;
sauté	VER:pper	sauter
de	PRP	de
b	ADJ	b
	NOM	
uf/haricots	NOM	uf/haricots
verts	ADJ	vert
;	PUN	;
saint-paulin	NOM	saint-paulin
;	PUN	;
fruit	NOM	fruit
.	SENT	.
jeudi	NOM	jeudi
:	PUN	:
chou	NOM	chou
rouge	ADJ	rouge
vinaigrette	NOM	vinaigrette
;	PUN	;
gratin	NOM	gratin
de	PRP	de
pâtes	NOM	pâte
au	PRP:det	au
jambon	NOM	jambon
;	PUN	;
yaourt	NOM	yaourt
nature	NOM	nature
;	PUN	;
pêches	NOM	pêche
au	PRP:det	au
sirop	NOM	sirop
.	SENT	.
vendredi	NOM	vendredi
:	PUN	:
tomates	NOM	tomate
au	PRP:det	au
basilic	NOM	basilic
;	PUN	;
dés	NOM	dé
de	PRP	de
poisson	NOM	poisson
sauce	VER:pres	saucer
persane/riz	NOM	persane/riz
pilaf	NOM	pilaf
;	PUN	;
tome	NOM	tome
blanche	ADJ	blanc
;	PUN	;
yaourt	NOM	yaourt
aux	PRP:det	au
fruits	NOM	fruit
.	SENT	.
