besancon	NOM	besancon
.	SENT	.
_	ADJ	_
echirolles	NOM	echirolles
bat	VER:pres	battre
plancher-bas	NOM	plancher-bas
11	NUM	@card@
-	PUN	-
7	NUM	@card@
déjà	ADV	déjà
battu	VER:pper	battre
(	PUN	(
9	NUM	@card@
-	PUN	-
11	NUM	@card@
)	PUN	)
par	PRP	par
nancy	NOM	nancy
lors	ADV	lors
de	PRP	de
la	DET:ART	le
première	NUM	premier
journée	NOM	journée
de	PRP	de
cette	PRO:DEM	ce
deuxième	NUM	deuxième
phase	NOM	phase
,	PUN	,
plancher-bas	NOM	plancher-bas
s'	PRO:PER	se
est	VER:pres	être
incliné	VER:pper	incliner
de	PRP	de
peu	ADV	peu
(	PUN	(
7	NUM	@card@
-	PUN	-
11	NUM	@card@
)	PUN	)
samedi	NOM	samedi
devant	PRP	devant
echirolles	NOM	echirolles
(	PUN	(
isère	ADJ	isère
).	VER:futu	).
les	DET:ART	le
haut-saônois	NOM	haut-saônois
devront	VER:futu	devoir
réagir	VER:infi	réagir
le	DET:ART	le
15	NUM	@card@
février	NOM	février
à	PRP	à
saint-chamond	NOM	saint-chamond
(	PUN	(
loire	NOM	loire
).	VER:ppre	).
les	DET:ART	le
résultats	NOM	résultat
simples	ADJ	simple
:	PUN	:
dabrainville	NOM	dabrainville
(	PUN	(
p-b	NOM	p-b
,	PUN	,
686	NUM	@card@
)	PUN	)
bat	NOM	bat
de	PRP	de
col	NOM	col
(	PUN	(
691	NUM	@card@
)	PUN	)
3	NUM	@card@
-	PUN	-
1	NUM	@card@
battu	VER:pper	battre
par	PRP	par
butzig	NOM	butzig
(	PUN	(
778	NUM	@card@
)	PUN	)
1	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
reboul	NOM	reboul
(	PUN	(
536	NUM	@card@
)	PUN	)
0	NUM	@card@
-	PUN	-
3	NUM	@card@
rakotozafy	NOM	rakotozafy
(	PUN	(
p-b	NOM	p-b
,	PUN	,
739	NUM	@card@
)	PUN	)
bat	VER:pres	battre
butzig	NOM	butzig
3	NUM	@card@
-	PUN	-
2	NUM	@card@
bat	NOM	bat
de	PRP	de
col	NOM	col
3	NUM	@card@
-	PUN	-
2	NUM	@card@
battu	VER:pper	battre
par	PRP	par
reboul	NOM	reboul
0	NUM	@card@
-	PUN	-
3	NUM	@card@
laïly	NOM	laïly
(	PUN	(
p-b	NOM	p-b
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
reboul	NOM	reboul
3	NUM	@card@
-	PUN	-
1	NUM	@card@
battu	VER:pper	battre
par	PRP	par
butzig	NOM	butzig
1	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
de	PRP	de
col	NOM	col
2	NUM	@card@
-	PUN	-
3	NUM	@card@
lombard	NOM	lombard
(	PUN	(
p-b	NOM	p-b
,	PUN	,
à	PRP	à
30	NUM	@card@
)	PUN	)
battu	VER:pper	battre
par	PRP	par
courtial	NOM	courtial
(	PUN	(
à	PRP	à
30	NUM	@card@
)	PUN	)
0	NUM	@card@
-	PUN	-
3	NUM	@card@
par	PRP	par
messina	NOM	messina
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
2	NUM	@card@
-	PUN	-
3	NUM	@card@
et	KON	et
par	PRP	par
babakan	NOM	babakan
(	PUN	(
à	PRP	à
25	NUM	@card@
)	PUN	)
2	NUM	@card@
-	PUN	-
3	NUM	@card@
piette	NOM	piette
(	PUN	(
p-b	NOM	p-b
,	PUN	,
à	PRP	à
35	NUM	@card@
)	PUN	)
battu	VER:pper	battre
par	PRP	par
messina	NOM	messina
1	NUM	@card@
-	PUN	-
3	NUM	@card@
par	PRP	par
babakan	NOM	babakan
1	NUM	@card@
-	PUN	-
3	NUM	@card@
miolin	NOM	miolin
(	PUN	(
p-b	NOM	p-b
,	PUN	,
à	PRP	à
25	NUM	@card@
)	PUN	)
bat	VER:pres	battre
babakan	NOM	babakan
3	NUM	@card@
-	PUN	-
2	NUM	@card@
bat	NOM	bat
messina	NOM	messina
3	NUM	@card@
-	PUN	-
1	NUM	@card@
battu	VER:pper	battre
par	PRP	par
courtial	NOM	courtial
1	NUM	@card@
-	PUN	-
3	NUM	@card@
doubles	NOM	double
:	PUN	:
de	PRP	de
col-butzig	NOM	col-butzig
battent	VER:pres	battre
dabrainville-rakotozafy	NOM	dabrainville-rakotozafy
3	NUM	@card@
-	PUN	-
0	NUM	@card@
lombard-miolin	NOM	lombard-miolin
battent	VER:pres	battre
messina-babakan	NOM	messina-babakan
3	NUM	@card@
-	PUN	-
2	NUM	@card@
