aujourd'hui	ADV	aujourd'hui
:	PUN	:
de	PRP	de
10	NUM	@card@
h	ABR	heure
à	PRP	à
12	NUM	@card@
h	ABR	heure
,	PUN	,
bibliothèque	NOM	bibliothèque
andré-theuriet	ADJ	andré-theuriet
,	PUN	,
prêt	ADJ	prêt
de	PRP	de
cd	NOM	cd
;	PUN	;
répétitions	NOM	répétition
de	PRP	de
la	DET:ART	le
chanterie	NOM	chanterie
de	PRP	de
13	NUM	@card@
à	PRP	à
14	NUM	@card@
h	ABR	heure
salle	NOM	salle
ambroise-paré	ADJ	ambroise-paré
.	SENT	.
lundi	NOM	lundi
:	PUN	:
départ	NOM	départ
marche	NOM	marche
à	PRP	à
14	NUM	@card@
h	ABR	heure
;	PUN	;
funny	NOM	funny
step	NOM	step
danse	VER:pres	danser
pour	PRP	pour
les	DET:ART	le
12	NUM	@card@
-	PUN	-
14	NUM	@card@
ans	NOM	an
de	PRP	de
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
30	NUM	@card@
petit	ADJ	petit
gymnase	NOM	gymnase
;	PUN	;
20	NUM	@card@
h	ABR	heure
,	PUN	,
gym	NOM	gym
au	PRP:det	au
petit	ADJ	petit
gymnase	NOM	gymnase
.	SENT	.
mardi	NOM	mardi
:	PUN	:
de	PRP	de
8	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
,	PUN	,
permanence	NOM	permanence
admr	ADJ	admr
au	PRP:det	au
local	ADJ	local
andré-theuriet	NOM	andré-theuriet
;	PUN	;
club	NOM	club
de	PRP	de
marche	NOM	marche
à	PRP	à
14	NUM	@card@
h	ABR	heure
;	PUN	;
restos	NOM	resto
du	PRP:det	du
c	NOM	c
	ADJ	
ur	VER:simp	ur
salle	NOM	salle
a.	ABR	a.
-	PUN	-
paré	VER:pper	parer
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
;	PUN	;
gym-danse	NOM	gym-danse
pour	PRP	pour
les	DET:ART	le
6	NUM	@card@
-	PUN	-
8	NUM	@card@
ans	NOM	an
de	PRP	de
