cette	PRO:DEM	ce
année	NOM	année
,	PUN	,
la	DET:ART	le
mjc	NOM	mjc
«	PUN:cit	«
la	DET:ART	le
colombe	NOM	colombe
»	PUN:cit	»
propose	VER:pres	proposer
une	DET:ART	un
activité	NOM	activité
dessin	NOM	dessin
pour	PRP	pour
les	DET:ART	le
enfants	NOM	enfant
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
lieu	NOM	lieu
tous	PRO:IND	tout
les	DET:ART	le
mercredis	NOM	mercredi
de	PRP	de
14	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
dans	PRP	dans
la	DET:ART	le
salle	NOM	salle
des	PRP:det	du
associations	NOM	association
.	SENT	.
une	DET:ART	un
dizaine	NOM	dizaine
de	PRP	de
jeunes	NOM	jeune
participent	VER:pres	participer
aux	PRP:det	au
cours	NOM	cour|cours
dispensés	VER:pper	dispenser
par	PRP	par
m.	ABR	m.
florot	NOM	florot
.	SENT	.
toutes	PRO:IND	tout
les	DET:ART	le
techniques	ADJ	technique
sont	VER:pres	être
abordées	VER:pper	aborder
,	PUN	,
le	DET:ART	le
professeur	NOM	professeur
surveille	VER:pres	surveiller
les	DET:ART	le
élèves	NOM	élève
et	KON	et
de	PRP	de
temps	NOM	temps
en	PRP	en
temps	NOM	temps
donne	VER:pres	donner
le	DET:ART	le
coup	NOM	coup
de	PRP	de
crayon	NOM	crayon
nécessaire	ADJ	nécessaire
pour	KON	pour
bien	ADV	bien
faire	VER:infi	faire
ressortir	VER:infi	ressortir|ressortir
le	DET:ART	le
sujet	NOM	sujet
.	SENT	.
