l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
yolande	ADJ	yolande
prud'homme	NOM	prud'homme
,	PUN	,
12	NUM	@card@
rue	NOM	rue
du	PRP:det	du
clos-gérard	NOM	clos-gérard
,	PUN	,
tél/fax	NOM	tél/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.65	NUM	@card@
.	SENT	.
57	NUM	@card@
à	PRP	à
seuil	NOM	seuil
d'	PRP	de
argonne	NOM	argonne
.	SENT	.
bibliothèque	NOM	bibliothèque
:	PUN	:
14	NUM	@card@
h	ABR	heure
à	PRP	à
16	NUM	@card@
h	ABR	heure
en	PRP	en
mairie	NOM	mairie
.	SENT	.
cpam	NOM	cpam
:	PUN	:
13	NUM	@card@
h	ABR	heure
à	PRP	à
15	NUM	@card@
h	ABR	heure
,	PUN	,
en	PRP	en
mairie	NOM	mairie
.	SENT	.
tri	NOM	tri
sélectif	ADJ	sélectif
:	PUN	:
pensez	VER:pres	penser
à	PRP	à
sortir	VER:infi	sortir
vos	DET:POS	votre
caissettes	NOM	caissette
bleues	ADJ	bleu
.	SENT	.
