l'	PRO:PER	la|le
est	VER:pres	être
républicain	ADJ	républicain
:	PUN	:
.	SENT	.
yolande	ADJ	yolande
prud'homme	NOM	prud'homme
12	NUM	@card@
rue	NOM	rue
du	PRP:det	du
clos-gérard	NOM	clos-gérard
,	PUN	,
tél/fax	NOM	tél/fax
.	SENT	.
03.29	NUM	@card@
.	SENT	.
70.65	NUM	@card@
.	SENT	.
57	NUM	@card@
pharmacie	NOM	pharmacie
de	PRP	de
garde	NOM	garde
:	PUN	:
.	SENT	.
kirtz	NOM	kirtz
à	PRP	à
dombasle-en-argonne	NOM	dombasle-en-argonne
(	PUN	(
tél	ABR	téléphone
.	SENT	.
03.29	NUM	@card@
.	SENT	.
86.81	NUM	@card@
.	SENT	.
28	NUM	@card@
).	ABR	).
offices	NOM	office
religieux	ADJ	religieux
:	PUN	:
.	SENT	.
à	PRP	à
9	NUM	@card@
h	ABR	heure
45	NUM	@card@
à	PRP	à
hargeville	NOM	hargeville
;	PUN	;
10	NUM	@card@
h	ABR	heure
30	NUM	@card@
à	PRP	à
laheycourt	NOM	laheycourt
;	PUN	;
11	NUM	@card@
h	ABR	heure
15	NUM	@card@
à	PRP	à
villotte-sur-aire	NOM	villotte-sur-aire
et	KON	et
nubecourt	NOM	nubecourt
.	SENT	.
centre	NOM	centre
de	PRP	de
secours	NOM	secours
:	PUN	:
.	SENT	.
à	PRP	à
partir	VER:infi	partir
de	PRP	de
7	NUM	@card@
h	ABR	heure
45	NUM	@card@
man	NOM	man
	ADJ	
uvres	NOM	uvres
mensuelles	ADJ	mensuel
des	PRP:det	du
sapeurs-pompiers	NOM	sapeurs-pompiers
.	SENT	.
