la	DET:ART	le
cérémonie	NOM	cérémonie
d'	PRP	de
adieu	NOM	adieu
à	PRP	à
bernard	NOM	bernard
linac	ADJ	linac
,	PUN	,
décédé	VER:pper	décéder
vendredi	NOM	vendredi
,	PUN	,
aura	VER:futu	avoir
lieu	NOM	lieu
mercredi	NOM	mercredi
22	NUM	@card@
janvier	NOM	janvier
,	PUN	,
à	PRP	à
14	NUM	@card@
h	ABR	heure
30	NUM	@card@
au	PRP:det	au
crématorium	NOM	crématorium
de	PRP	de
nancy	NOM	nancy
.	SENT	.
nous	PRO:PER	nous
renouvelons	VER:pres	renouveler
nos	DET:POS	notre
condoléances	NOM	condoléance
à	PRP	à
sa	DET:POS	son
famille	NOM	famille
.	SENT	.
