ce	PRO:DEM	ce
week-end	NOM	week-end
,	PUN	,
à	PRP	à
l'	DET:ART	le
alpe	NOM	alpe
du	PRP:det	du
grand	ADJ	grand
cerf	NOM	cerf
,	PUN	,
dans	PRP	dans
l'	DET:ART	le
isère	NOM	isère
,	PUN	,
en	PRP	en
pulka	NOM	pulka
,	PUN	,
claude	NOM	claude
paris	NOM	pari
l'	PRO:PER	la|le
a	VER:pres	avoir
emporté	VER:pper	emporter
de	PRP	de
quelques	PRO:IND	quelque
secondes	NOM	second|seconde
devant	PRP	devant
nathalie	NOM	nathalie
roland	ADJ	roland
.	SENT	.
hélas	INT	hélas
pour	PRP	pour
les	DET:ART	le
haut-doubiens	NOM	haut-doubiens
en	PRP	en
grande	ADJ	grand
forme	NOM	forme
actuellement	ADV	actuellement
,	PUN	,
les	DET:ART	le
championnats	NOM	championnat
d'	PRP	de
europe	NOM	europe
prévus	VER:pper	prévoir
le	DET:ART	le
week-end	NOM	week-end
prochain	ADJ	prochain
à	PRP	à
saint-cergue	NOM	saint-cergue
sont	VER:pres	être
annulés	VER:pper	annuler
,	PUN	,
faute	NOM	faute
de	PRP	de
neige	NOM	neige
.	SENT	.
