mme	VER:cond	mme
simone	ADJ	simone
butin	NOM	butin
,	PUN	,
85	NUM	@card@
ans	NOM	an
,	PUN	,
s'	PRO:PER	se
est	VER:pres	être
éteinte	VER:pper	éteindre
lundi	NOM	lundi
à	PRP	à
l'	DET:ART	le
hôpital	NOM	hôpital
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
.	SENT	.
née	VER:pper	naître
le	DET:ART	le
19	NUM	@card@
août	NOM	août
1917	NUM	@card@
à	PRP	à
nancy	NOM	nancy
de	PRP	de
joseph	ADJ	joseph
deshaye	NOM	deshaye
et	KON	et
marie	VER:pres	marier
anne	VER:pper	anne
schneider	NOM	schneider
,	PUN	,
simone	ADJ	simone
était	VER:impf	être
issue	ADJ	issu
d'	PRP	de
une	DET:ART	un
famille	NOM	famille
de	PRP	de
4	NUM	@card@
enfants	NOM	enfant
.	SENT	.
avec	PRP	avec
ses	DET:POS	son
deux	NUM	deux
s	NOM	s
	ADJ	
urs	NOM	urs
,	PUN	,
pierrette	NOM	pierrette
et	KON	et
jacqueline	NOM	jacqueline
et	KON	et
son	DET:POS	son
frère	NOM	frère
rené	VER:pper	renaître
elle	PRO:PER	elle
a	VER:pres	avoir
passé	VER:pper	passer
toute	PRO:IND	tout
son	DET:POS	son
enfance	NOM	enfance
à	PRP	à
st-max	NOM	st-max
dans	PRP	dans
la	DET:ART	le
banlieue	NOM	banlieue
nancéienne	NOM	nancéienne
.	SENT	.
très	ADV	très
tôt	ADV	tôt
,	PUN	,
elle	PRO:PER	elle
travaille	VER:pres	travailler
dans	PRP	dans
l'	DET:ART	le
entreprise	NOM	entreprise
de	PRP	de
textile	ADJ	textile
levy	NOM	levy
à	PRP	à
st-max	NOM	st-max
en	PRP	en
tant	ADV	tant
que	KON	que
dactylo	NOM	dactylo
.	SENT	.
le	DET:ART	le
28	NUM	@card@
mai	NOM	mai
1938	NUM	@card@
elle	PRO:PER	elle
épouse	VER:pres	épouser
paul	ADJ	paul
butin	NOM	butin
,	PUN	,
cheminot	NOM	cheminot
qu'	PRO:REL	que
elle	PRO:PER	elle
va	VER:pres	aller
suivre	VER:infi	suivre
tout	ADV	tout
au	PRP:det	au
long	NOM	long
de	PRP	de
sa	DET:POS	son
carrière	NOM	carrière
à	PRP	à
uckange	NOM	uckange
tout	ADV	tout
d'	PRP	de
abord	NOM	abord
puis	ADV	puis
à	PRP	à
vandières	NOM	vandières
et	KON	et
enfin	ADV	enfin
pagny-sur-moselle	ADJ	pagny-sur-moselle
.	SENT	.
de	PRP	de
leur	DET:POS	leur
union	NOM	union
sont	VER:pres	être
nés	VER:pper	naître
deux	NUM	deux
enfants	NOM	enfant
:	PUN	:
claude	NOM	claude
,	PUN	,
en	PRP	en
mars	NOM	mars
1939	NUM	@card@
et	KON	et
danielle	ADJ	danielle
en	PRP	en
septembre	NOM	septembre
1943	NUM	@card@
dont	PRO:REL	dont
elle	PRO:PER	elle
s'	PRO:PER	se
occupera	VER:futu	occuper
à	PRP	à
plein	ADJ	plein
temps	NOM	temps
.	SENT	.
elle	PRO:PER	elle
a	VER:pres	avoir
eu	VER:pper	avoir
la	DET:ART	le
joie	NOM	joie
d'	PRP	de
être	VER:infi	être
entourée	VER:pper	entourer
de	PRP	de
l'	DET:ART	le
affection	NOM	affection
de	PRP	de
4	NUM	@card@
petits-enfants	NOM	petits-enfants
,	PUN	,
marina	NOM	marina
,	PUN	,
