hier	ADV	hier
matin	NOM	matin
,	PUN	,
les	DET:ART	le
sapeurs-pompiers	NOM	sapeurs-pompiers
du	PRP:det	du
pays	NOM	pays
de	PRP	de
pont-à-mousson	NOM	pont-à-mousson
sont	VER:pres	être
intervenus	VER:pper	intervenir
rue	NOM	rue
nicolas-pierson	NOM	nicolas-pierson
à	PRP	à
pont-à-mousson	NOM	pont-à-mousson
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
domicile	NOM	domicile
et	KON	et
transport	NOM	transport
vers	PRP	vers
l'	DET:ART	le
hôpital	NOM	hôpital
mussipontain	ADJ	mussipontain
.	SENT	.
même	ADJ	même
intervention	NOM	intervention
à	PRP	à
blénod	NOM	blénod
vers	PRP	vers
9	NUM	@card@
h	ABR	heure
30	NUM	@card@
a	VER:pres	avoir
midi	NOM	midi
,	PUN	,
c'	PRO:DEM	ce
est	VER:pres	être
une	DET:ART	un
chute	NOM	chute
à	PRP	à
la	DET:ART	le
station	NOM	station
d'	PRP	de
épuration	NOM	épuration
qui	PRO:REL	qui
a	VER:pres	avoir
motivé	VER:pper	motiver
le	DET:ART	le
déplacement	NOM	déplacement
des	PRP:det	du
secours	NOM	secours
.	SENT	.
