compte-rendu	NOM	compte-rendu
sommaire	ADJ	sommaire
de	PRP	de
la	DET:ART	le
séance	NOM	séance
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
déroulée	VER:pper	dérouler
le	DET:ART	le
23	NUM	@card@
janvier	NOM	janvier
2003	NUM	@card@
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
après	PRP	après
avoir	VER:infi	avoir
entendu	VER:pper	entendre
les	DET:ART	le
explications	NOM	explication
du	PRP:det	du
maire	NOM	maire
,	PUN	,
donne	VER:pres	donner
à	PRP	à
l'	DET:ART	le
unanimité	NOM	unanimité
les	DET:ART	le
pouvoirs	NOM	pouvoir
au	PRP:det	au
maire	NOM	maire
pour	PRP	pour
effectuer	VER:infi	effectuer
les	DET:ART	le
démarches	NOM	démarche
concernant	VER:ppre	concerner
l'	DET:ART	le
étude	NOM	étude
d'	PRP	de
un	DET:ART	un
emprunt	NOM	emprunt
pour	PRP	pour
le	DET:ART	le
budget	NOM	budget
communal	ADJ	communal
afin	KON	afin
de	PRP	de
financer	VER:infi	financer
les	DET:ART	le
travaux	NOM	travail
réalisés	VER:pper	réaliser
dans	PRP	dans
le	DET:ART	le
secrétariat	NOM	secrétariat
de	PRP	de
mairie	NOM	mairie
et	KON	et
un	DET:ART	un
logement	NOM	logement
.	SENT	.
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
d'	PRP	de
acheter	VER:infi	acheter
le	DET:ART	le
semoir	NOM	semoir
d'	PRP	de
occasion	NOM	occasion
vendu	VER:pper	vendre
par	PRP	par
gérard	ADJ	gérard
laprevotte	NOM	laprevotte
demeurant	VER:ppre	demeurer
à	PRP	à
sauville	NOM	sauville
pour	PRP	pour
un	DET:ART	un
montant	NOM	montant
de	PRP	de
100	NUM	@card@
	NOM	
ttc	ADJ	ttc
.	SENT	.
il	PRO:PER	il
décide	VER:pres	décider
d'	PRP	de
adhérer	VER:infi	adhérer
au	PRP:det	au
service	NOM	service
de	PRP	de
médecine	NOM	médecine
confessionnelle	ADJ	confessionnel
du	PRP:det	du
centre	NOM	centre
de	PRP	de
gestion	NOM	gestion
pour	PRP	pour
les	DET:ART	le
employés	NOM	employé
communaux	ADJ	communal
et	KON	et
autorise	VER:pres	autoriser
le	DET:ART	le
maire	NOM	maire
à	PRP	à
signer	VER:infi	signer
la	DET:ART	le
convention	NOM	convention
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
décide	VER:pres	décider
d'	PRP	de
accepter	VER:infi	accepter
les	DET:ART	le
avenants	NOM	avenant
suivants	ADJ	suivant
:	PUN	:
-	PUN	-
concernant	VER:ppre	concerner
la	DET:ART	le
restauration	NOM	restauration
de	PRP	de
la	DET:ART	le
mairie	NOM	mairie
et	KON	et
l'	DET:ART	le
aménagement	NOM	aménagement
d'	PRP	de
un	DET:ART	un
logement	NOM	logement
:	PUN	:
a/avenant	VER:ppre	a/avenant
n	NOM	n
°	ABR	°
1	NUM	@card@
de	PRP	de
claude	NOM	claude
hauet	ADJ	hauet
,	PUN	,
lot	NOM	lot
n	VER:futu	n
°	NOM	°
9	NUM	@card@
:	PUN	:
électricité	NOM	électricité
;	PUN	;
b/avenant	VER:ppre	b/avenant
n	NOM	n
°	ABR	°
1	NUM	@card@
de	PRP	de
grandidier	ADJ	grandidier
noirjean	NOM	noirjean
,	PUN	,
lot	NOM	lot
n	VER:futu	n
°	NOM	°
7	NUM	@card@
:	PUN	:
peinture	NOM	peinture
autorise	VER:pres	autoriser
le	DET:ART	le
maire	NOM	maire
à	PRP	à
signer	VER:infi	signer
les	DET:ART	le
dits	NOM	dit
avenants	ADJ	avenant
.	SENT	.
le	DET:ART	le
maire	NOM	maire
donne	VER:pres	donner
lecture	NOM	lecture
d'	PRP	de
un	DET:ART	un
courrier	NOM	courrier
du	PRP:det	du
président	NOM	président
du	PRP:det	du
syndicat	NOM	syndicat
mixte	ADJ	mixte
du	PRP:det	du
pays	NOM	pays
de	PRP	de
l'	DET:ART	le
ouest	NOM	ouest
vosgien	ADJ	vosgien
en	PRP	en
date	NOM	date
du	PRP:det	du
29	NUM	@card@
novembre	NOM	novembre
2002	NUM	@card@
concernant	PRP	concernant
l'	DET:ART	le
adoption	NOM	adoption
de	PRP	de
la	DET:ART	le
charte	NOM	charte
du	PRP:det	du
pays	NOM	pays
de	PRP	de
l'	DET:ART	le
ouest	NOM	ouest
vosgien	ADJ	vosgien
faisant	VER:ppre	faire
suite	NOM	suite
à	PRP	à
un	DET:ART	un
courrier	NOM	courrier
de	PRP	de
mme	NOM	madame
la	DET:ART	le
préfet	NOM	préfet
de	PRP	de
région	NOM	région
en	PRP	en
date	NOM	date
du	PRP:det	du
11	NUM	@card@
décembre	NOM	décembre
2000	NUM	@card@
reconnaissant	VER:ppre	reconnaître
le	DET:ART	le
périmètre	NOM	périmètre
d'	PRP	de
étude	NOM	étude
du	PRP:det	du
pays	NOM	pays
de	PRP	de
l'	DET:ART	le
ouest	NOM	ouest
vosgien	ADJ	vosgien
.	SENT	.
cette	PRO:DEM	ce
charte	NOM	charte
a	VER:pres	avoir
été	VER:pper	être
mise	VER:pper	mettre
à	PRP	à
disposition	NOM	disposition
du	PRP:det	du
conseil	NOM	conseil
municipal	ADJ	municipal
,	PUN	,
quatre	NUM	quatre
réunions	NOM	réunion
d'	PRP	de
informations	NOM	information
et	KON	et
de	PRP	de
présentation	NOM	présentation
de	PRP	de
la	DET:ART	le
charte	NOM	charte
ont	VER:pres	avoir
eu	VER:pper	avoir
lieu	NOM	lieu
(	PUN	(
neufchâteau	NOM	neufchâteau
,	PUN	,
mirecourt	NOM	mirecourt
,	PUN	,
contrexéville	NOM	contrexéville
et	KON	et
lamarche	NOM	lamarche
).	VER:pper	).
après	PRP	après
en	PRO:PER	en
avoir	VER:infi	avoir
délibérer	VER:infi	délibérer
,	PUN	,
le	DET:ART	le
conseil	NOM	conseil
municipal	ADJ	municipal
:	PUN	:
adopte	VER:pres	adopter
la	DET:ART	le
charte	NOM	charte
du	PRP:det	du
pays	NOM	pays
de	PRP	de
l'	DET:ART	le
ouest	NOM	ouest
vosgien	ADJ	vosgien
,	PUN	,
demande	VER:pres	demander
l'	DET:ART	le
intégration	NOM	intégration
à	PRP	à
la	DET:ART	le
commune	NOM	commune
dans	PRP	dans
le	DET:ART	le
périmètre	NOM	périmètre
définitif	ADJ	définitif
du	PRP:det	du
pays	NOM	pays
de	PRP	de
l'	DET:ART	le
ouest	NOM	ouest
vosgien	ADJ	vosgien
.	SENT	.
par	PRP	par
délibération	NOM	délibération
du	PRP:det	du
10	NUM	@card@
octobre	NOM	octobre
2000	NUM	@card@
la	DET:ART	le
commune	NOM	commune
de	PRP	de
vrécourt	NOM	vrécourt
a	VER:pres	avoir
sollicité	VER:pper	solliciter
le	DET:ART	le
concours	NOM	concours
de	PRP	de
la	DET:ART	le
dde	NOM	dde
pour	PRP	pour
assurer	VER:infi	assurer
une	DET:ART	un
mission	NOM	mission
de	PRP	de
