«	PUN:cit	«
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
meilleur	ADJ	meilleur
concours	NOM	concours
que	PRO:REL	que
nous	PRO:PER	nous
ayons	VER:subp	avoir
jamais	ADV	jamais
organisé	VER:pper	organiser
,	PUN	,
ce	PRO:DEM	ce
fut	VER:simp	être
une	DET:ART	un
réussite	NOM	réussite
sur	PRP	sur
tous	PRO:IND	tout
les	DET:ART	le
plans	NOM	plan
».	ABR	».
c'	PRO:DEM	ce
est	VER:pres	être
par	PRP	par
ces	PRO:DEM	ce
mots	NOM	mot
de	PRP	de
satisfaction	NOM	satisfaction
que	PRO:REL	que
s'	PRO:PER	se
exprimait	VER:impf	exprimer
le	DET:ART	le
président	NOM	président
du	PRP:det	du
groupe	NOM	groupe
sportif	ADJ	sportif
haroué-benney	NOM	haroué-benney
,	PUN	,
pascal	ADJ	pascal
muller	NOM	muller
à	PRP	à
l'	DET:ART	le
issue	NOM	issue
du	PRP:det	du
concours	NOM	concours
de	PRP	de
belote	NOM	belote
que	KON	que
son	DET:POS	son
club	NOM	club
avait	VER:impf	avoir
organisé	VER:pper	organiser
,	PUN	,
vendredi	NOM	vendredi
soir	NOM	soir
,	PUN	,
à	PRP	à
la	DET:ART	le
salle	NOM	salle
polyvalente	ADJ	polyvalent
.	SENT	.
en	PRP	en
effet	NOM	effet
,	PUN	,
ce	PRO:DEM	ce
sont	VER:pres	être
60	NUM	@card@
équipes	NOM	équipe
de	PRP	de
deux	NUM	deux
joueurs	NOM	joueur
qui	PRO:REL	qui
ont	VER:pres	avoir
disputé	VER:pper	disputer
des	PRP:det	du
parties	NOM	partie
acharnées	VER:pper	acharner
afin	KON	afin
de	PRP	de
remporter	VER:infi	remporter
le	DET:ART	le
gros	ADJ	gros
lot	NOM	lot
.	SENT	.
il	PRO:PER	il
faut	VER:pres	falloir
dire	VER:infi	dire
que	KON	que
le	DET:ART	le
jeu	NOM	jeu
en	PRO:PER	en
valait	VER:impf	valoir
la	DET:ART	le
chandelle	NOM	chandelle
puisque	KON	puisque
l'	DET:ART	le
équipe	NOM	équipe
gagnante	ADJ	gagnant
,	PUN	,
à	PRP	à
savoir	VER:infi	savoir
olivier	NOM	olivier
corbier	NOM	corbier
et	KON	et
thierry	NOM	thierry
buchet	NOM	buchet
de	PRP	de
bayon	NOM	bayon
on	PRO:PER	on
reçu	VER:pper	recevoir
un	DET:ART	un
bon	ADJ	bon
pour	PRP	pour
un	DET:ART	un
week-end	NOM	week-end
en	PRP	en
relais-château	NOM	relais-château
,	PUN	,
pour	PRP	pour
deux	NUM	deux
personnes	NOM	personne
offerts	VER:pper	offrir
par	PRP	par
lavaux	NOM	lavaux
immobilier	ADJ	immobilier
.	SENT	.
les	DET:ART	le
suivantes	NOM	suivant|suivante
dans	PRP	dans
le	DET:ART	le
classement	NOM	classement
ont	VER:pres	avoir
été	VER:pper	être
cécile	NOM	cécile
tissot	ADJ	tissot
et	KON	et
thérèse	ADJ	thérèse
daubie	NOM	daubie
de	PRP	de
lemainville	NOM	lemainville
qui	PRO:REL	qui
ont	VER:pres	avoir
gagné	VER:pper	gagner
chacune	PRO:IND	chacun
une	DET:ART	un
série	NOM	série
de	PRP	de
cocottes	NOM	cocotte
.	SENT	.
quant	PRP	quant
aux	PRP:det	au
autres	ADJ	autre
concurrents	NOM	concurrent
,	PUN	,
ils	PRO:PER	il
sont	VER:pres	être
repartis	VER:pper	repartir
avec	PRP	avec
des	PRP:det	du
perceuses	NOM	perceur
,	PUN	,
meuleuses	NOM	meuleuse
et	KON	et
autres	ADJ	autre
objets	NOM	objet
utiles	ADJ	utile
.	SENT	.
