«	PUN:cit	«
par	PRP	par
les	DET:ART	le
chemins	NOM	chemin
d'	PRP	de
argonne	NOM	argonne
»,	ADJ	»,
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
nom	NOM	nom
de	PRP	de
l'	DET:ART	le
exposition	NOM	exposition
d'	ADJ	d'
uvres	NOM	uvres
picturales	ADJ	pictural
qu'	PRO:REL	que
a	VER:pres	avoir
proposée	VER:pper	proposer
à	PRP	à
l'	DET:ART	le
hôtel	NOM	hôtel
de	PRP	de
ville	NOM	ville
philippe	NOM	philippe
lunard	ADJ	lunard
.	SENT	.
par	PRP	par
ailleurs	ADV	ailleurs
professeur	NOM	professeur
d'	PRP	de
allemand	NOM	allemand
au	PRP:det	au
collège	NOM	collège
,	PUN	,
il	PRO:PER	il
a	VER:pres	avoir
choisi	VER:pper	choisir
de	PRP	de
peindre	VER:infi	peindre
l'	DET:ART	le
argonne	NOM	argonne
,	PUN	,
sans	PRP	sans
oublier	VER:infi	oublier
un	DET:ART	un
seul	ADJ	seul
village	NOM	village
.	SENT	.
même	ADV	même
les	DET:ART	le
ruines	NOM	ruine
consécutives	ADJ	consécutif
à	PRP	à
la	DET:ART	le
tempête	NOM	tempête
ont	VER:pres	avoir
trouvé	VER:pper	trouver
grâce	NOM	grâce
à	PRP	à
ses	DET:POS	son
yeux	NOM	œil
.	SENT	.
en	PRP	en
parallèle	NOM	parallèle
,	PUN	,
le	DET:ART	le
jeune	ADJ	jeune
artiste	ADJ	artiste
argonnaise	NOM	argonnaise
sylvie	NOM	sylvie
maille	NOM	maille
a	VER:pres	avoir
également	ADV	également
exposé	VER:pper	exposer
ses	DET:POS	son
	ADJ	
uvres	NOM	uvres
toujours	ADV	toujours
très	ADV	très
colorées	VER:pper	colorer
.	SENT	.
