vittel	NAM	Vittel
.	SENT	.
_	NOM	_
pour	PRP	pour
ces	PRO:DEM	ce
régionaux	ADJ	régional
de	PRP	de
franche-comté	NOM	franche-comté
ils	PRO:PER	il
n'	ADV	ne
étaient	VER:impf	être
que	ADV	que
150	NUM	@card@
athlètes	NOM	athlète
sur	PRP	sur
le	DET:ART	le
tartan	NOM	tartan
vittellois	ADJ	vittellois
.	SENT	.
pour	PRP	pour
ouvrir	VER:infi	ouvrir
le	DET:ART	le
bal	NOM	bal
,	PUN	,
l'	DET:ART	le
internationale	ADJ	international
nora	NOM	nora
leksir	NOM	leksir
,	PUN	,
qui	PRO:REL	qui
est	VER:pres	être
devenue	VER:pper	devenir
mme	VER:pper	mme
genebrier	NOM	genebrier
et	KON	et
depuis	PRP	depuis
peu	ADV	peu
maman	NOM	maman
,	PUN	,
a	VER:pres	avoir
signé	VER:pper	signer
une	DET:ART	un
bonne	ADJ	bon
reprise	NOM	reprise
au	PRP:det	au
3.000	NUM	@card@
m	NOM	m
marche	NOM	marche
avec	PRP	avec
un	DET:ART	un
temps	NOM	temps
honorable	ADJ	honorable
de	PRP	de
14	NUM	@card@
'	PUN	'
37	NUM	@card@
''	NOM	''
8	NUM	@card@
qui	PRO:REL	qui
reste	VER:pres	rester
néanmoins	ADV	néanmoins
assez	ADV	assez
loin	ADV	loin
de	PRP	de
son	DET:POS	son
meilleur	ADJ	meilleur
niveau	NOM	niveau
.	SENT	.
sous	PRP	sous
les	DET:ART	le
feux	NOM	feu
des	PRP:det	du
projecteurs	NOM	projecteur
,	PUN	,
la	DET:ART	le
cadette	ADJ	cadet
bisontine	ADJ	bisontin
elodie	NOM	elodie
gravier	NOM	gravier
a	VER:pres	avoir
pulvérisé	VER:pper	pulvériser
sa	DET:POS	son
meilleure	ADJ	meilleur
performance	NOM	performance
au	PRP:det	au
60	NUM	@card@
m	NOM	m
haies	NOM	haie
en	PRP	en
8	NUM	@card@
''	NOM	''
76	NUM	@card@
dans	PRP	dans
une	DET:ART	un
série	NOM	série
qui	PRO:REL	qui
s'	PRO:PER	se
est	VER:pres	être
adjugée	VER:pper	adjuger
par	PRP	par
la	DET:ART	le
même	ADV	même
la	DET:ART	le
victoire	NOM	victoire
finale	ADJ	final
en	PRP	en
8	NUM	@card@
''	NOM	''
80	NUM	@card@
elle	PRO:PER	elle
devait	VER:impf	devoir
récidiver	VER:infi	récidiver
à	PRP	à
la	DET:ART	le
longueur	NOM	longueur
avec	PRP	avec
un	DET:ART	un
saut	NOM	saut
à	PRP	à
5	NUM	@card@
m	NOM	m
56	NUM	@card@
toujours	ADV	toujours
égale	ADJ	égal
à	PRP	à
elle-même	PRO:PER	elle-même
la	DET:ART	le
sochalienne	NOM	sochalienne
junior	ADJ	junior
laure	VER:pres	laurer
paris	NOM	pari
s'	PRO:PER	se
envolait	VER:impf	envoler
à	PRP	à
1	NUM	@card@
m	NOM	m
70	NUM	@card@
m	NOM	m
à	PRP	à
la	DET:ART	le
hauteur	NOM	hauteur
tandis	KON	tandis
que	KON	que
son	DET:POS	son
frère	NOM	frère
hervé	ADJ	hervé
en	PRO:PER	en
faisait	VER:impf	faire
autant	ADV	autant
chez	PRP	chez
les	DET:ART	le
garçons	NOM	garçon
avec	PRP	avec
2	NUM	@card@
m	NOM	m
04	NUM	@card@
m.	ABR	m.
belle	ADJ	beau
entrée	NOM	entrée
en	PRP	en
matière	NOM	matière
également	ADV	également
pour	PRP	pour
jessica	NOM	jessica
muller	NOM	muller
qui	PRO:REL	qui
a	VER:pres	avoir
terminé	VER:pper	terminer
seconde	NUM	second
de	PRP	de
la	DET:ART	le
