hier	ADV	hier
,	PUN	,
les	DET:ART	le
pompiers	NOM	pompier
du	PRP:det	du
centre	NOM	centre
de	PRP	de
secours	NOM	secours
sont	VER:pres	être
intervenus	VER:pper	intervenir
à	PRP	à
9	NUM	@card@
h	ABR	heure
55	NUM	@card@
pour	PRP	pour
une	DET:ART	un
chute	NOM	chute
à	PRP	à
dombasle	NOM	dombasle
,	PUN	,
à	PRP	à
11	NUM	@card@
h	ABR	heure
25	NUM	@card@
pour	PRP	pour
une	DET:ART	un
fuite	NOM	fuite
d'	PRP	de
eau	NOM	eau
à	PRP	à
blainville	NOM	blainville
,	PUN	,
à	PRP	à
12	NUM	@card@
h	ABR	heure
20	NUM	@card@
pour	PRP	pour
un	DET:ART	un
malaise	NOM	malais|malaise
à	PRP	à
dombasle	NOM	dombasle
.	SENT	.
