«	PUN:cit	«
l'	DET:ART	le
année	NOM	année
2002	NUM	@card@
touche	NOM	touche
à	PRP	à
son	DET:POS	son
terme	NOM	terme
et	KON	et
mes	DET:POS	mon
premières	NUM	premier
pensées	NOM	pensée
,	PUN	,
à	PRP	à
l'	DET:ART	le
aube	NOM	aube
de	PRP	de
la	DET:ART	le
nouvelle	ADJ	nouveau
années	NOM	année
,	PUN	,
s'	PRO:PER	se
adressent	VER:pres	adresser
tout	ADV	tout
naturellement	ADV	naturellement
à	PRP	à
celles	PRO:DEM	celui
et	KON	et
à	PRP	à
ceux	PRO:DEM	celui
qui	PRO:REL	qui
souffrent	VER:pres	souffrir
de	PRP	de
maladie	NOM	maladie
,	PUN	,
de	PRP	de
la	DET:ART	le
perte	NOM	perte
d'	PRP	de
un	DET:ART	un
être	NOM	être
cher	ADJ	cher
,	PUN	,
que	KON	que
les	DET:ART	le
circonstances	NOM	circonstance
ont	VER:pres	avoir
conduit	VER:pper	conduire
à	PRP	à
rechercher	VER:infi	rechercher
un	DET:ART	un
emploi	NOM	emploi
,	PUN	,
un	DET:ART	un
foyer	NOM	foyer
,	PUN	,
et	KON	et
qui	PRO:REL	qui
s'	PRO:PER	se
inquiètent	VER:pres	inquiéter
pour	PRP	pour
leur	DET:POS	leur
avenir	NOM	avenir
et	KON	et
celui	PRO:DEM	celui
de	PRP	de
leurs	DET:POS	leur
enfants	NOM	enfant
.	SENT	.
depuis	PRP	depuis
quelques	PRO:IND	quelque
années	NOM	année
,	PUN	,
nous	PRO:PER	nous
sommes	VER:pres	sommer|être
passés	VER:pper	passer
d'	PRP	de
une	DET:ART	un
politique	NOM	politique
ambitieuse	ADJ	ambitieux
pour	PRP	pour
la	DET:ART	le
france	NOM	france
à	PRP	à
une	DET:ART	un
politique	NOM	politique
faite	VER:pper	faire
d'	PRP	de
hésitations	NOM	hésitation
,	PUN	,
de	PRP	de
projets	NOM	projet
incomplets	ADJ	incomplet
et	KON	et
mal	ADV	mal
aboutis	VER:pper	aboutir
,	PUN	,
de	PRP	de
fausses	ADJ	faux
concertations	NOM	concertation
où	PRO:REL	où
le	DET:ART	le
plus	ADV	plus
souvent	ADV	souvent
c'	PRO:DEM	ce
est	VER:pres	être
le	DET:ART	le
dernier	ADJ	dernier
qui	PRO:REL	qui
a	VER:pres	avoir
parlé	VER:pper	parler
qui	PRO:REL	qui
a	VER:pres	avoir
raison	NOM	raison
.	SENT	.
de	PRP	de
cette	PRO:DEM	ce
politique	NOM	politique
,	PUN	,
les	DET:ART	le
françaises	ADJ	français
et	KON	et
les	DET:ART	le
français	ADJ	français
n'	ADV	ne
en	PRO:PER	en
veulent	VER:pres	vouloir
plus	ADV	plus
.	SENT	.
ils	PRO:PER	il
l'	PRO:PER	la|le
ont	VER:pres	avoir
clairement	ADV	clairement
exprimé	VER:pper	exprimer
le	DET:ART	le
21	NUM	@card@
avril	NOM	avril
.	SENT	.
2002	NUM	@card@
a	VER:pres	avoir
vu	VER:pper	voir
naître	VER:infi	naître
de	PRP	de
grands	ADJ	grand
défis	NOM	défi
pour	PRP	pour
la	DET:ART	le
france	NOM	france
tels	NOM	tel
,	PUN	,
la	DET:ART	le
réforme	NOM	réforme
de	PRP	de
la	DET:ART	le
décentralisation	NOM	décentralisation
,	PUN	,
l'	DET:ART	le
acceptation	NOM	acceptation
de	PRP	de
l'	DET:ART	le
adhésion	NOM	adhésion
de	PRP	de
nouveaux	ADJ	nouveau
etats	NOM	etats
à	PRP	à
l'	DET:ART	le
union	NOM	union
européenne	ADJ	européen
,	PUN	,
le	DET:ART	le
concours	NOM	concours
difficile	ADJ	difficile
au	PRP:det	au
maintien	NOM	maintien
de	PRP	de
la	DET:ART	le
paix	NOM	paix
.	SENT	.
le	DET:ART	le
rôle	NOM	rôle
de	PRP	de
notre	DET:POS	notre
pays	NOM	pays
est	VER:pres	être
redevenu	VER:pper	redevenir
essentiel	ADJ	essentiel
sur	PRP	sur
la	DET:ART	le
scène	NOM	scène
politique	ADJ	politique
européenne	ADJ	européen
et	KON	et
internationale	ADJ	international
,	PUN	,
pour	PRP	pour
être	VER:infi	être
de	PRP	de
nouveau	ADJ	nouveau
pleinement	ADV	pleinement
reconnu	VER:pper	reconnaître
.	SENT	.
2003	ABR	@card@
sera	VER:futu	être
l'	DET:ART	le
année	NOM	année
de	PRP	de
l'	DET:ART	le
action	NOM	action
autour	ADV	autour
de	PRP	de
thèmes	NOM	thème
forts	ADJ	fort
qui	PRO:REL	qui
rassemblent	VER:pres	rassembler
les	DET:ART	le
français	ADJ	français
:	PUN	:
éducation	NOM	éducation
,	PUN	,
formation	NOM	formation
,	PUN	,
santé	NOM	santé
,	PUN	,
sécurité	NOM	sécurité
,	PUN	,
retraites	VER:pper	retraire
,	PUN	,
justice	NOM	justice
...	PUN	...
animé	VER:pper	animer
par	PRP	par
l'	DET:ART	le
esprit	NOM	esprit
d'	PRP	de
entreprise	NOM	entreprise
,	PUN	,
mon	DET:POS	mon
souhait	NOM	souhait
est	VER:pres	être
d'	PRP	de
apporter	VER:infi	apporter
à	PRP	à
notre	DET:POS	notre
secteur	NOM	secteur
ce	PRO:DEM	ce
dynamisme	NOM	dynamisme
novateur	NOM	novateur
,	PUN	,
qui	PRO:REL	qui
nous	PRO:PER	nous
permettra	VER:futu	permettre
de	PRP	de
résister	VER:infi	résister
aux	PRP:det	au
difficultés	NOM	difficulté
en	PRP	en
travaillant	VER:ppre	travailler
,	PUN	,
avec	PRP	avec
force	NOM	force
et	KON	et
avec	PRP	avec
tous	PRO:IND	tout
,	PUN	,
à	PRP	à
la	DET:ART	le
mise	NOM	mise
en	PRP	en
place	NOM	place
de	PRP	de
solutions	NOM	solution
concrètes	ADJ	concret
.	SENT	.
conscients	NOM	conscient
que	KON	que
certains	PRO:IND	certain
événements	NOM	événement
,	PUN	,
indépendants	ADJ	indépendant
de	PRP	de
notre	DET:POS	notre
volonté	NOM	volonté
,	PUN	,
surgissent	VER:pres	surgir
de	PRP	de
façon	NOM	façon
inévitable	ADJ	inévitable
,	PUN	,
il	PRO:PER	il
nous	PRO:PER	nous
faut	VER:pres	falloir
	ADJ	
uvrer	NOM	uvrer
sans	PRP	sans
cesse	NOM	cesse
à	PRP	à
rechercher	VER:infi	rechercher
des	PRP:det	du
réponses	NOM	réponse
pour	PRP	pour
lutter	VER:infi	lutter
contre	PRP	contre
leurs	DET:POS	leur
déroulements	NOM	déroulement
trop	ADV	trop
souvent	ADV	souvent
dommageables	ADJ	dommageable
.	SENT	.
mes	DET:POS	mon
v	NOM	v
	ADJ	
ux	ADJ	ux
,	PUN	,
placés	VER:pper	placer
sous	PRP	sous
le	DET:ART	le
signe	NOM	signe
de	PRP	de
l'	DET:ART	le
amitié	NOM	amitié
,	PUN	,
du	PRP:det	du
courage	NOM	courage
et	KON	et
de	PRP	de
la	DET:ART	le
solidarité	NOM	solidarité
,	PUN	,
traduisent	VER:pres	traduire
une	DET:ART	un
ambition	NOM	ambition
qui	PRO:REL	qui
m'	PRO:PER	me
est	VER:pres	être
chère	ADJ	cher
:	PUN	:
que	KON	que
la	DET:ART	le
valeur	NOM	valeur
humaine	ADJ	humain
doit	VER:pres	devoir
guider	VER:infi	guider
chacune	PRO:IND	chacun
de	PRP	de
nos	DET:POS	notre
intentions	NOM	intention
et	KON	et
demeurer	VER:infi	demeurer
la	DET:ART	le
juste	ADJ	juste
cause	NOM	cause
de	PRP	de
chacun	PRO:IND	chacun
de	PRP	de
nos	DET:POS	notre
actes	NOM	acte
.	SENT	.
je	PRO:PER	je
vous	PRO:PER	vous
souhaite	VER:pres	souhaiter
,	PUN	,
à	PRP	à
toutes	PRO:IND	tout
et	KON	et
à	PRP	à
tous	PRO:IND	tout
,	PUN	,
une	DET:ART	un
excellente	ADJ	excellent
année	NOM	année
2003	NUM	@card@
».	ABR	».
