tous	PRO:IND	tout
les	DET:ART	le
bailliages	NOM	bailliage
de	PRP	de
franche-comté	NOM	franche-comté
de	PRP	de
la	DET:ART	le
chaîne	NOM	chaîne
des	PRP:det	du
rôtisseurs	NOM	rôtisseur
ont	VER:pres	avoir
décidé	VER:pper	décider
d'	PRP	de
organiser	VER:infi	organiser
,	PUN	,
jeudi	NOM	jeudi
10	NUM	@card@
avril	NOM	avril
,	PUN	,
le	DET:ART	le
23	NUM	@card@
e	ADJ	e
concours	NOM	concours
du	PRP:det	du
meilleur	ADJ	meilleur
jeune	ADJ	jeune
rôtisseur	NOM	rôtisseur
de	PRP	de
franche-comté	NOM	franche-comté
.	SENT	.
ce	PRO:DEM	ce
concours	NOM	concours
se	PRO:PER	se
déroulera	VER:futu	dérouler
pour	PRP	pour
la	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
au	PRP:det	au
lycée	NOM	lycée
professionnel	ADJ	professionnel
hôtelier	ADJ	hôtelier
condé	NOM	condé
de	PRP	de
besançon	NOM	besançon
.	SENT	.
peuvent	VER:pres	pouvoir
s'	PRO:PER	se
inscrire	VER:infi	inscrire
les	DET:ART	le
jeunes	NOM	jeune
«	PUN:cit	«
commis	VER:pper	commettre
de	PRP	de
cuisine	NOM	cuisine
»	PUN:cit	»
sortis	VER:pper	sortir
de	PRP	de
l'	DET:ART	le
apprentissage	NOM	apprentissage
ayant	VER:ppre	avoir
au	PRP:det	au
moins	ADV	moins
3	NUM	@card@
ans	NOM	an
de	PRP	de
pratique	NOM	pratique
,	PUN	,
âgés	ADJ	âgé
au	PRP:det	au
maximum	NOM	maximum
de	PRP	de
27	NUM	@card@
ans	NOM	an
dans	PRP	dans
l'	DET:ART	le
année	NOM	année
et	KON	et
travaillant	VER:ppre	travailler
obligatoirement	ADV	obligatoirement
dans	PRP	dans
un	DET:ART	un
établissement	NOM	établissement
de	PRP	de
franche-comté	NOM	franche-comté
.	SENT	.
contact	NOM	contact
et	KON	et
inscription	NOM	inscription
:	PUN	:
jean	NOM	jean
thoral	ADJ	thoral
,	PUN	,
à	PRP	à
arbois	NOM	arbois
,	PUN	,
tél	ABR	téléphone
.	SENT	.
03.84	NUM	@card@
.	SENT	.
66.03	NUM	@card@
.	SENT	.
97	NUM	@card@
