c'	PRO:DEM	ce
està	NOM	està
l'	DET:ART	le
espace	NOM	espace
du	PRP:det	du
sapeur	NOM	sapeur
que	PRO:REL	que
s'	PRO:PER	se
est	VER:pres	être
déroulé	VER:pper	dérouler
le	DET:ART	le
goûter	NOM	goûter
du	PRP:det	du
basket-club	NOM	basket-club
.	SENT	.
l'	DET:ART	le
occasion	NOM	occasion
pour	PRP	pour
son	DET:POS	son
président	NOM	président
d'	PRP	de
établir	VER:infi	établir
un	DET:ART	un
petit	ADJ	petit
bilan	NOM	bilan
:	PUN	:
«	PUN:cit	«
les	DET:ART	le
résultats	NOM	résultat
sont	VER:pres	être
assez	ADV	assez
bons	ADJ	bon
,	PUN	,
même	ADV	même
si	KON	si
les	DET:ART	le
seniors	NOM	senior
sont	VER:pres	être
en	PRP	en
difficulté	NOM	difficulté
».	VER:subi	».
il	PRO:PER	il
mit	VER:simp	mettre
aussi	ADV	aussi
en	PRP	en
garde	NOM	garde
«	PUN:cit	«
les	DET:ART	le
enfants	NOM	enfant
perturbateurs	ADJ	perturbateur
»	PUN:cit	»
qui	PRO:REL	qui
troublent	VER:pres	troubler
l'	DET:ART	le
esprit	NOM	esprit
de	PRP	de
leur	DET:POS	leur
équipe	NOM	équipe
.	SENT	.
«	PUN:cit	«
les	DET:ART	le
parents	NOM	parent|parents
doivent	VER:pres	devoir
se	PRO:PER	se
sentir	VER:infi	sentir
responsables	ADJ	responsable
et	KON	et
être	VER:infi	être
un	DET:ART	un
peu	ADV	peu
plus	ADV	plus
vigilants	ADJ	vigilant
et	KON	et
attentifs	ADJ	attentif
»,	NOM	»,
a-t-il	ADJ	a-t-il
ajouté	VER:pper	ajouter
.	SENT	.
au	PRP:det	au
cours	NOM	cour|cours
de	PRP	de
son	DET:POS	son
petit	ADJ	petit
discours	NOM	discours
,	PUN	,
le	DET:ART	le
président	NOM	président
a	VER:pres	avoir
aussi	ADV	aussi
dénoncé	VER:pper	dénoncer
«	PUN:cit	«
l'	DET:ART	le
absentéisme	NOM	absentéisme
»,	ADJ	»,
non	ADV	non
pas	ADV	pas
en	PRP	en
direction	NOM	direction
des	PRP:det	du
entraînements	NOM	entraînement
,	PUN	,
mais	KON	mais
lors	ADV	lors
des	PRP:det	du
matchs	NOM	match
.	SENT	.
«	PUN:cit	«
les	DET:ART	le
licenciés	NOM	licencié
devraient	VER:cond	devoir
se	PRO:PER	se
mobiliser	VER:infi	mobiliser
davantage	ADV	davantage
et	KON	et
participer	VER:infi	participer
dans	PRP	dans
la	DET:ART	le
mesure	NOM	mesure
du	PRP:det	du
possible	ADJ	possible
aux	PRP:det	au
matchs	NOM	match
et	KON	et
tournois	NOM	tournoi
».	VER:subi	».
le	DET:ART	le
président	NOM	président
a	VER:pres	avoir
aussi	ADV	aussi
félicité	VER:pper	féliciter
bernard	NOM	bernard
charvet	ADJ	charvet
,	PUN	,
l'	DET:ART	le
entraîneur	NOM	entraîneur
de	PRP	de
l'	DET:ART	le
équipe	NOM	équipe
première	NUM	premier
qui	PRO:REL	qui
a	VER:pres	avoir
reçu	VER:pper	recevoir
le	DET:ART	le
trophée	NOM	trophée
des	PRP:det	du
sports	NOM	sport
de	PRP	de
la	DET:ART	le
ville	NOM	ville
de	PRP	de
lure	NOM	lure
.	SENT	.
et	KON	et
avant	PRP	avant
de	PRP	de
laisser	VER:infi	laisser
place	NOM	place
à	PRP	à
un	DET:ART	un
goûter	NOM	goûter
,	PUN	,
philippe	NOM	philippe
trahin	ADJ	trahin
a	VER:pres	avoir
annoncé	VER:pper	annoncer
le	DET:ART	le
traditionnel	ADJ	traditionnel
repas-dansant	NOM	repas-dansant
qui	PRO:REL	qui
pour	PRP	pour
la	DET:ART	le
première	NUM	premier
fois	NOM	foi|fois
sera	VER:futu	être
animé	VER:pper	animer
par	PRP	par
un	DET:ART	un
orchestre	NOM	orchestre
:	PUN	:
«	PUN:cit	«
il	PRO:PER	il
aura	VER:futu	avoir
lieu	NOM	lieu
le	DET:ART	le
26	NUM	@card@
avril	NOM	avril
à	PRP	à
la	DET:ART	le
salle	NOM	salle
du	PRP:det	du
sapeur	NOM	sapeur
.	SENT	.
tout	PRO:IND	tout
le	DET:ART	le
monde	NOM	monde
y	PRO:PER	y
est	VER:pres	être
déjà	ADV	déjà
convié	VER:pper	convier
».	ADJ	».
