dans	PRP	dans
le	DET:ART	le
cadre	NOM	cadre
de	PRP	de
la	DET:ART	le
fête	NOM	fête
musulmane	ADJ	musulman
de	PRP	de
l'	DET:ART	le
aïd	NOM	aïd
el	VER:futu	el
kébir	NOM	kébir
,	PUN	,
qui	PRO:REL	qui
est	VER:pres	être
fixée	VER:pper	fixer
au	PRP:det	au
mardi	NOM	mardi
11	NUM	@card@
février	NOM	février
,	PUN	,
les	DET:ART	le
abattoirs	NOM	abattoir
de	PRP	de
socopa	NOM	socopa
est	VER:pres	être
mirecourt	NOM	mirecourt
à	PRP	à
domvallier	NOM	domvallier
et	KON	et
montagne	NOM	montagne
sud	ADJ	sud
à	PRP	à
dommartin-les-remiremont	NOM	dommartin-les-remiremont
seront	VER:futu	être
ouverts	VER:pper	ouvrir
mardi	NOM	mardi
11	NUM	@card@
et	KON	et
mercredi	NOM	mercredi
12	NUM	@card@
février	NOM	février
,	PUN	,
afin	KON	afin
d'	PRP	de
assurer	VER:infi	assurer
l'	DET:ART	le
abattage	NOM	abattage
rituel	ADJ	rituel
.	SENT	.
abattoir	NOM	abattoir
socopa	NOM	socopa
est	VER:pres	être
mirecourt	NOM	mirecourt
à	PRP	à
domvallier	NOM	domvallier
:	PUN	:
pas	ADV	pas
de	PRP	de
marché	NOM	marché
aux	PRP:det	au
ovins	NOM	ovin
sur	PRP	sur
le	DET:ART	le
site	NOM	site
de	PRP	de
l'	DET:ART	le
abattoir	NOM	abattoir
.	SENT	.
les	DET:ART	le
moutons	NOM	mouton
peuvent	VER:pres	pouvoir
être	VER:infi	être
amenés	VER:pper	amener
à	PRP	à
l'	DET:ART	le
abattoir	NOM	abattoir
les	DET:ART	le
jours	NOM	jour
suivants	ADJ	suivant
:	PUN	:
mardi	NOM	mardi
11	NUM	@card@
de	PRP	de
6	NUM	@card@
à	PRP	à
18	NUM	@card@
h	ABR	heure
,	PUN	,
mercredi	NOM	mercredi
12	NUM	@card@
de	PRP	de
6	NUM	@card@
h	ABR	heure
à	PRP	à
17	NUM	@card@
h	ABR	heure
30	NUM	@card@
les	DET:ART	le
bovins	NOM	bovin
peuvent	VER:pres	pouvoir
être	VER:infi	être
amenés	VER:pper	amener
à	PRP	à
l'	DET:ART	le
abattoir	NOM	abattoir
les	DET:ART	le
jours	NOM	jour
suivants	ADJ	suivant
:	PUN	:
lundi	NOM	lundi
10	NUM	@card@
février	NOM	février
,	PUN	,
de	PRP	de
